Periodo,NombreBanco,CodigoCuenta,Concepto,TipoCuenta,Monto
2024-01-01,"Citibank N.A., Sucursal El Salvador",62,Otros ingresos financieros,Ingreso,415.86191
2024-01-01,"Citibank N.A., Sucursal El Salvador",6210,Otros ingresos financieros,Ingreso,415.86191
2024-01-01,"Citibank N.A., Sucursal El Salvador",63,Ingresos de otras operaciones,Ingreso,0.09984
2024-01-01,"Citibank N.A., Sucursal El Salvador",6310,Ingresos de otras operaciones,Ingreso,0.09984
2024-01-01,"Citibank N.A., Sucursal El Salvador",71,Costos financieros,Costo,227.35019
2024-01-01,"Citibank N.A., Sucursal El Salvador",711,Costos financieros,Costo,103.26636
2024-01-01,"Citibank N.A., Sucursal El Salvador",7110,Costos de pasivos financieros,Costo,103.26636
2024-01-01,"Citibank N.A., Sucursal El Salvador",7111,Pérdida por cambios en el vr de activos financieros y pasivos financieros,Costo,0.0
2024-01-01,"Citibank N.A., Sucursal El Salvador",7112,Pérdidas por deterioro de activos financieros,Costo,0.0
2024-01-01,"Citibank N.A., Sucursal El Salvador",7113,Pérdida por venta de inversiones financieras,Costo,0.0
2024-01-01,"Citibank N.A., Sucursal El Salvador",7114,Otros costos financieros,Costo,0.0
2024-01-01,"Citibank N.A., Sucursal El Salvador",7120,Constitución de estimaciones de pérdida por  saneamiento de activos de riesgo crediticio (arc),Costo,124.08383
2024-01-01,"Citibank N.A., Sucursal El Salvador",713,Constitución de estimaciones de pérdida por castigos  de activos de riesgo crediticio (arc),Costo,0.0
2024-01-01,"Citibank N.A., Sucursal El Salvador",72,Costos de otras operaciones,Costo,106.21645
2024-01-01,"Citibank N.A., Sucursal El Salvador",7210,Comisiones de otros servicios,Costo,106.21645
2024-01-01,"Citibank N.A., Sucursal El Salvador",7211,Pérdidas generadas por entidades registradas bajo el método de la participación,Costo,0.0
2024-01-01,"Citibank N.A., Sucursal El Salvador",7212,Pérdidas por operaciones en moneda extranjera,Costo,0.0
2024-01-01,"Citibank N.A., Sucursal El Salvador",7213,Pérdida por importes ineficaces en operaciones de cobertura,Costo,0.0
