Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,,,
Datos al 30 de Abril de 2020,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Scotiabank El Salvador, S.A.","Banco de América Central, S.A.","Banco Abank, S.A. 1/","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,,,
2413 deuda subordinada a cinco o mas años,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"30,457.27",0.00,0.00,0.00,0.00,0.00,0.00,"30,457.27"
Total pasivos,"4,803,435.47","1,572,301.84","2,601,849.67","1,035,554.67","255,525.30","370,743.97","342,937.18","1,167,671.81","1,754,491.03","2,505,521.66","54,631.44","362,868.92","433,280.71","599,040.48","17,859,854.17"
 ,,,,,,,,,,,,,,,
Patrimonio ,,,,,,,,,,,,,,,
31 Patrimonio,"469,422.51","163,636.10","260,624.91","105,556.90","39,072.91","33,119.71","57,667.14","101,660.64","203,825.35","257,196.44","24,431.10","34,498.77","53,093.53","63,795.82","1,867,601.83"
3110 Capital social pagado,"297,500.00","90,570.64","150,000.00","45,029.45","30,000.00","19,057.46","51,598.94","68,783.09","101,131.20","161,000.44","20,333.67","30,000.00","80,000.00","65,000.00","1,210,004.90"
3130 Reservas de capital,"141,273.03","41,942.66","102,621.29","57,722.21","3,377.98","2,410.06","5,006.98","14,307.66","48,245.16","38,452.17","2,883.35",924.90,7.46,848.19,"460,023.10"
3140 Resultados por aplicar,"30,649.47","31,122.80","8,003.62","2,805.24","5,694.94","11,652.19","1,061.21","18,569.89","54,448.99","57,743.83","1,214.08","3,573.87","-26,913.93","-2,052.37","197,573.83"
314001 Resultados de ejercicios anteriores,603.20,"25,526.75","1,144.57",25.00,"4,816.18","10,741.50",573.21,"17,164.49","50,281.08","48,172.23",606.16,"2,987.91","-26,663.20","-2,435.14","133,543.94"
314002 Resultados del presente ejercicio,"30,046.27","5,596.05","6,859.05","2,780.24",878.75,910.68,488.00,"1,405.40","4,167.92","9,571.60",607.92,585.96,-250.73,382.77,"64,029.89"
