Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,
Datos al  31 de mayo de 2025,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Apoyo Integral, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,
,,,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,,,
2250 Pasivos diferidos," 10,985.50 "," 24,697.56 "," 15,364.90 "," 1,120.29 ", 68.02 ," 4,851.05 "," 2,186.96 "," 14,429.26 ", 633.46 ," 1,454.00 "," 1,240.26 ", 210.95 , -   ," 77,242.21 ",
Total Pasivos," 5,795,418.11 "," 3,949,433.98 "," 2,947,532.31 "," 2,250,250.76 "," 157,896.36 "," 452,333.85 "," 1,353,149.58 "," 3,462,428.55 "," 180,166.85 "," 787,774.30 "," 897,792.34 "," 240,684.46 "," 1,246,945.75 "," 23,721,807.20 ",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
31 Patrimonio," 516,920.26 "," 406,925.15 "," 340,289.42 "," 178,261.79 "," 42,279.11 "," 60,053.19 "," 100,663.46 "," 344,401.84 "," 30,656.45 "," 101,615.43 "," 91,192.34 "," 35,167.10 "," 118,400.60 "," 2,366,826.13 ",
311 Capital social," 297,500.00 "," 204,701.84 "," 150,000.00 "," 121,403.22 "," 22,000.00 "," 40,529.30 "," 75,788.87 "," 161,000.44 "," 23,643.70 "," 70,000.00 "," 80,000.00 "," 22,000.00 "," 113,703.50 "," 1,382,270.87 ",
3110 Capital social suscrito," 297,500.00 "," 204,701.84 "," 150,000.00 "," 121,403.22 "," 22,000.00 "," 40,529.30 "," 75,788.87 "," 161,000.44 "," 23,643.70 "," 70,000.00 "," 80,000.00 "," 22,000.00 "," 113,703.50 "," 1,382,270.87 ",
3111 Capital social variable, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
3120 Aportes de capital pendientes de formalizar, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
3130 Reservas de capital," 159,461.50 "," 90,187.82 "," 172,149.31 "," 30,351.51 "," 5,500.00 "," 6,145.76 "," 18,611.65 "," 40,250.11 "," 4,246.91 "," 4,326.83 "," 6,052.35 "," 4,300.12 "," 3,334.76 "," 544,918.62 ",
3140 Resultados por aplicar," 59,958.76 "," 112,035.49 "," 18,140.11 "," 26,507.06 "," 14,779.11 "," 13,378.12 "," 6,262.94 "," 143,151.30 "," 2,765.84 "," 27,288.60 "," 5,139.99 "," 8,866.98 "," 1,362.34 "," 439,636.64 ",
3150 Primas sobre acciones, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
32 Patrimonio restringido," 73,362.48 "," 60,353.04 "," 31,457.57 "," 40,159.95 "," 4,353.64 "," 13,780.69 "," 14,451.29 "," 36,699.52 "," 2,823.26 "," 4,628.97 "," 11,509.61 "," 3,808.60 "," 12,642.81 "," 310,031.42 ",
3210 Utilidades no distribuibles," 72,266.80 "," 46,765.80 "," 27,536.14 "," 35,604.67 "," 4,306.75 "," 2,949.42 "," 15,526.52 "," 38,371.58 "," 2,784.99 "," 4,748.43 "," 11,509.61 "," 3,958.73 "," 12,610.11 "," 278,939.56 ",
3220 Donaciones, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 32.70 , 32.70 ,
323 Otro resultado integral," 1,095.68 "," 13,587.24 "," 3,921.43 "," 4,555.28 ", 46.89 ," 10,831.26 ","-1,075.23 ","-1,672.06 ", 38.27 ,-119.45 , -   ,-150.14 , -   ," 31,059.17 ",
3230 Otro resultado integral de ejercicios anteriores," 1,095.68 "," 13,587.24 "," 3,921.43 "," 4,555.28 ", 46.89 ," 10,831.26 ","-1,075.23 ","-1,764.17 ", 38.27 , -   , -   ,-150.14 , -   ," 31,086.51 ",
3231 Otro resultado integral del presente ejercicio, -   , -   , -   , -   , -   , -   , -   , 92.12 , -   ,-119.45 , -   , -   , -   ,-27.34 ,
,,,,,,,,,,,,,,,
Total Patrimonio," 590,282.74 "," 467,278.18 "," 371,746.99 "," 218,421.75 "," 46,632.75 "," 73,833.88 "," 115,114.75 "," 381,101.36 "," 33,479.71 "," 106,244.40 "," 102,701.94 "," 38,975.69 "," 131,043.41 "," 2,676,857.56 ",
,,,,,,,,,,,,,,,
Total pasivo + total patrimonio," 6,385,700.85 "," 4,416,712.16 "," 3,319,279.30 "," 2,468,672.50 "," 204,529.12 "," 526,167.73 "," 1,468,264.33 "," 3,843,529.92 "," 213,646.56 "," 894,018.70 "," 1,000,494.29 "," 279,660.15 "," 1,377,989.16 "," 26,398,664.76 ",
,,,,,,,,,,,,,,,
5110 Obligaciones por cartas de crédito," 12,436.38 "," 10,543.77 "," 14,990.61 ", 259.81 , -   , -   , 246.94 ," 91,473.39 ", -   ," 1,080.17 "," 4,267.55 ", -   , -   ," 135,298.62 ",
5120 Contingencias por avales y fianzas," 79,319.21 "," 62,851.46 "," 112,208.81 "," 12,398.32 "," 2,690.62 "," 5,732.38 "," 4,711.37 "," 60,426.91 ", -   ," 11,850.63 "," 2,674.95 ", -   ," 8,854.13 "," 363,718.79 ",
5130 Operaciones con instrumentos financieros derivados," 4,382.97 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 4,382.97 ",
5140 Procesos judiciales abiertos contra la entidad, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
5180 Otras, -   , -   , -   , -   , 24.90 , -   , -   , -   , -   , -   , -   , -   , -   , 24.90 ,
,,,,,,,,,,,,,,,
Total de compromisos y contingencias," 96,138.56 "," 73,395.24 "," 127,199.41 "," 12,658.12 "," 2,715.52 "," 5,732.38 "," 4,958.31 "," 151,900.30 ", -   ," 12,930.80 "," 6,942.50 ", -   ," 8,854.13 "," 503,425.28 ",
,,,,,,,,,,,,,,,
Total pasivo + patrimonio + compromisos futuros y contingencias," 6,481,839.41 "," 4,490,107.40 "," 3,446,478.72 "," 2,481,330.63 "," 207,244.64 "," 531,900.10 "," 1,473,222.64 "," 3,995,430.21 "," 213,646.56 "," 906,949.50 "," 1,007,436.79 "," 279,660.15 "," 1,386,843.29 "," 26,902,090.04 ",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
