Superintendencia del Sistema Financiero,,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,,
Datos al 28 de Febrero de 2022,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,,
314001 Resultados de ejercicios anteriores,"-5,392.07","41,588.89","2,112.86","17,461.81","1,284.08","9,257.61","2,028.75","17,504.68","67,720.64",0.21,"8,063.09","-26,663.20","1,915.98","136,883.33"
314002 Resultados del presente ejercicio,"20,217.12","7,897.56","7,375.69","3,647.56",-25.63,942.05,167.62,929.40,"5,387.11",193.29,866.12,173.59,550.83,"48,322.30"
32 Patrimonio restringido,"93,205.59","60,699.62","26,277.43","32,162.10","3,784.05","14,018.15","3,065.31","22,046.31","27,885.76","4,015.79","3,384.17","3,088.35","12,206.67","305,839.30"
3210 Utilidades no distribuibles,"31,450.40","43,853.63","13,081.14","17,924.99","3,462.75",0.00,"1,707.23","15,540.82","21,591.33","4,014.96","3,287.14","2,805.64","6,237.06","164,957.09"
3220 Revaluaciones,"9,850.58","13,997.27","4,369.79","4,962.30",0.00,"10,831.26",0.00,0.00,0.00,0.00,0.00,0.00,44.27,"44,055.47"
3230 Recuperaciones de activos castigados,0.00,268.53,825.00,"3,350.20",0.00,0.00,39.97,661.61,"1,007.32",0.00,0.00,0.00,40.52,"6,193.15"
3240 Donaciones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.70,32.70
3250 Provisiones,"51,904.61","2,580.20","8,001.51","5,924.61",321.30,"3,186.89","1,318.11","5,843.88","5,287.11",0.83,97.03,282.71,"5,852.11","90,600.88"
3260 Por instrumentos financieros derivados,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Total patrimonio,"562,465.76","405,075.73","314,022.81","157,741.50","38,890.54","52,730.67","60,751.90","127,344.60","302,244.05","27,803.79","64,108.46","56,940.87","91,256.32","2,261,377.00"
 ,,,,,,,,,,,,,,
Total pasivo + patrimonio,"5,454,804.95","3,754,690.83","2,887,728.87","1,713,565.53","208,511.76","479,086.23","379,990.83","1,327,756.24","3,034,871.33","116,696.05","443,175.83","556,313.21","888,343.74","21,245,535.39"
 ,,,,,,,,,,,,,,
5110 Obligaciones por cartas de crédito,"46,002.21","10,356.56","18,735.88",676.53,735.00,0.00,"3,403.49",91.71,"38,997.32",0.00,"1,130.89",83.85,0.00,"120,213.45"
5120 Contingencias por avales y fianzas,"123,547.62","110,155.43","92,491.70","15,945.76","8,548.21","6,358.04","2,791.27","10,592.53","114,129.33",0.00,"17,850.83",0.00,"6,394.98","508,805.68"
5131 Compromisos por operaciones en moneda extranjera,"13,876.69",494.39,0.00,0.00,506.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"14,877.33"
 ,,,,,,,,,,,,,,
Total compromisos futuros y contingencias,"183,426.52","121,006.37","111,227.58","16,622.29","9,789.46","6,358.04","6,194.76","10,684.24","153,126.65",0.00,"18,981.72",83.85,"6,394.98","643,896.47"
 ,,,,,,,,,,,,,,
Total pasivo + patrimonio + comp. futuros y contingencias,"5,638,231.47","3,875,697.20","2,998,956.45","1,730,187.82","218,301.22","485,444.27","386,185.59","1,338,440.48","3,187,997.98","116,696.05","462,157.55","556,397.07","894,738.72","21,889,431.86"
 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
