Superintendencia del Sistema Financiero,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,
Datos al 31 de Diciembre de 2023,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,
,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,
3230 Recuperaciones de activos castigados,0.00,151.87,710.76,"4,702.09",0.00,0.00,155.26,526.39,0.00,0.00,37.00,37.03,"6,320.39"
3240 Donaciones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.70,32.70
3250 Provisiones,"22,176.77","4,172.03","5,785.16","4,858.33",0.00,"3,977.96","2,690.35","1,780.01",0.56,153.14,"2,401.36","3,174.47","51,170.14"
3260 Por instrumentos financieros derivados,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Total patrimonio,"652,374.54","446,708.43","359,900.12","192,229.17","36,613.66","64,738.28","126,299.68","344,488.73","33,445.90","75,498.49","101,826.18","117,121.53","2,551,244.71"
 ,,,,,,,,,,,,,
Total pasivo + patrimonio,"5,667,464.12","4,001,003.58","3,090,441.46","2,261,435.77","267,691.98","474,766.72","1,392,094.67","3,333,565.92","177,023.52","672,937.02","869,574.46","1,210,919.89","23,418,919.12"
 ,,,,,,,,,,,,,
5110 Obligaciones por cartas de crédito,"11,511.04","26,547.92","10,934.31",397.24,0.00,0.00,0.00,"58,586.67",0.00,"1,280.55","2,231.37",0.00,"111,489.10"
5120 Contingencias por avales y fianzas,"91,980.99","77,678.08","127,194.15","23,708.46","5,066.73","5,732.38","7,651.03","70,691.59",0.00,"20,639.34","2,046.53","6,755.59","439,144.87"
5131 Compromisos por operaciones en moneda extranjera,"8,798.90",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"8,798.90"
 ,,,,,,,,,,,,,
Total compromisos futuros y contingencias,"112,290.92","104,226.00","138,128.46","24,105.70","5,066.73","5,732.38","7,651.03","129,278.26",0.00,"21,919.89","4,277.90","6,755.59","559,432.86"
 ,,,,,,,,,,,,,
Total pasivo + patrimonio + comp. futuros y contingencias,"5,779,755.04","4,105,229.58","3,228,569.92","2,285,541.47","272,758.71","480,499.10","1,399,745.71","3,462,844.18","177,023.52","694,856.91","873,852.36","1,217,675.49","23,978,351.98"
 ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
