Superintendencia del Sistema Financiero,,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,,
Datos al 30 de Noviembre de 2021,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,,
2160 Cheques y otros valores por aplicar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
217 Instrumentos financieros a valor razonable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2170 Instrumentos financieros a valor razonable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22 Otros pasivos,"91,008.45","87,774.76","57,804.47","15,861.50","3,470.93","31,539.08","4,446.57","21,154.74","34,819.90","3,333.27","45,858.52","4,971.15","5,384.16","407,427.50"
2210 Saldos entre compañias,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2220 Cuentas por pagar,"41,655.45","64,709.18","36,059.56","8,567.33","1,314.46","22,013.27","3,716.58","12,421.55","16,949.05","1,919.32","44,890.34","3,665.03","1,986.61","259,867.73"
2230 Retenciones,"1,943.69","2,112.34","1,188.63",400.19,125.50,189.23,115.47,"1,054.29","1,243.64",237.04,138.04,312.82,360.45,"9,421.33"
2240 Provisiones,"31,306.16","14,975.13","6,678.11","5,557.58","1,893.18","3,615.54",553.10,"4,142.92","9,486.57","1,176.91",404.28,610.98,"2,979.27","83,379.73"
224003 Otras provisiones,"7,401.80",452.93,0.00,572.06,58.83,26.60,0.00,"1,940.22","2,774.80",498.36,41.49,0.00,"1,479.65","15,246.74"
2250 Créditos diferidos,"16,103.14","5,978.11","13,878.17","1,336.40",137.79,"5,721.04",61.42,"3,535.98","7,140.64",0.00,425.86,382.32,57.83,"54,758.70"
