Superintendencia del Sistema Financiero,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,
Datos al 31 de Mayo de 2023,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,
,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,
2230 Retenciones,"2,312.16","3,253.54","1,225.56",489.74,128.21,223.44,"1,224.66","1,234.28",275.29,196.26,415.23,409.96,"11,388.33"
2240 Provisiones,"29,805.29","11,757.18","6,466.99","4,685.81","2,197.69","3,479.45","4,058.65","9,443.80","1,854.43",381.94,588.43,"2,706.21","77,425.87"
224003 Otras provisiones,"9,910.27",156.80,0.00,735.26,137.62,0.32,"1,264.06","3,709.37",917.52,71.10,0.00,"1,179.15","18,081.46"
2250 Créditos diferidos,"20,611.89","32,029.19","14,963.86",874.37,61.42,"5,489.26","2,716.09","9,254.75",320.79,803.00,"1,146.09",58.38,"88,329.09"
23 Obligaciones convertibles en acciones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2311 Préstamos convertibles en acciones pactados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2321 Bonos convertibles en acciones pactados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2322 Bonos convertibles en acciones pactados a mas de un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24 deuda subordinada,"71,539.68",0.00,0.00,0.00,0.00,0.00,"30,325.87",0.00,0.00,0.00,0.00,0.00,"101,865.56"
241 deuda subordinada a plazo fijo,"71,539.68",0.00,0.00,0.00,0.00,0.00,"30,325.87",0.00,0.00,0.00,0.00,0.00,"101,865.56"
2413 deuda subordinada a cinco o mas años,"71,539.68",0.00,0.00,0.00,0.00,0.00,"30,325.87",0.00,0.00,0.00,0.00,0.00,"101,865.56"
