Superintendencia del Sistema Financiero,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,
Datos al 28 de Febrero de 2023,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,
,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,
2114 depósitos restringidos e inactivos,"69,748.64","61,901.67","40,188.39","23,974.33","1,322.25","10,328.54","26,605.74","17,300.67","3,552.36","3,958.48","6,344.43","16,221.03","281,446.53"
212 Préstamos,"484,047.01","297,083.22","221,795.73","92,596.04",0.00,"17,423.58","124,913.55","161,737.45","4,034.59","70,160.98","98,264.22","138,167.00","1,710,223.37"
2121 Préstamos pactados hasta un año plazo,"136,316.72","81,621.64","108,879.21","12,039.60",0.00,16.20,"17,962.10","63,972.84",927.26,"42,356.25",218.95,"6,084.57","470,395.34"
2122 Préstamos pactados a mas de un año plazo,"90,163.06","27,099.63","4,519.57","71,418.69",0.00,"5,172.01","16,975.54","97,764.61","3,107.33","27,804.72","63,048.70","92,813.28","499,887.16"
2123 Préstamos pactados a cinco o mas años plazo,"257,567.23","188,361.95","108,396.95","9,137.75",0.00,"12,235.37","89,975.91",0.00,0.00,0.00,"34,996.57","39,269.15","739,940.87"
2130 Obligaciones a la vista,"22,620.12","24,647.15","12,849.90","29,961.07","2,649.42",192.53,"9,931.94","29,672.75",436.30,"1,800.84","3,799.01","3,082.31","141,643.34"
214 Títulos de emisión propia,"127,077.01","150,400.77","222,206.66",0.00,0.00,0.00,"24,276.84","111,914.65","7,570.06","21,249.12","52,697.29","126,240.69","843,633.10"
2141 Títulos de emisión propia pactados hasta un año plazo.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"6,567.28","2,608.90",0.00,"24,964.35","34,140.53"
2142 Pactados a mas de un año plazo,"127,077.01","150,400.77","222,206.66",0.00,0.00,0.00,"24,276.84","111,914.65","1,002.78","18,640.22","52,697.29","101,276.33","809,492.58"
215 Documentos transados,0.00,0.00,"3,160.42","10,176.62",0.00,0.00,0.00,0.00,0.00,0.00,"15,013.97","10,000.00","38,351.01"
2151 Documentos transados hasta un año plazo,0.00,0.00,"3,160.42","10,176.62",0.00,0.00,0.00,0.00,0.00,0.00,"15,013.97","10,000.00","38,351.01"
216 Cheques y otros valores por aplicar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2160 Cheques y otros valores por aplicar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
217 Instrumentos financieros a valor razonable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2170 Instrumentos financieros a valor razonable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22 Otros pasivos,"201,485.98","99,704.47","48,678.57","13,048.75","3,994.60","31,978.59","18,401.76","50,845.93","3,686.57","49,778.77","9,230.89","5,063.34","535,898.23"
2210 Saldos entre compañias,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2220 Cuentas por pagar,"147,226.46","52,463.55","26,222.73","7,274.70","1,918.96","22,900.62","10,611.73","31,446.61","1,771.70","48,794.31","7,104.81","1,884.17","359,620.35"
2230 Retenciones,"2,178.55","4,846.82","2,196.41",619.25,137.98,223.95,"1,108.24","1,088.38",259.25,157.50,677.57,387.12,"13,881.02"
2240 Provisiones,"31,236.98","9,679.97","5,371.63","4,232.00","1,905.06","3,180.26","3,938.04","9,768.26","1,443.84",238.04,318.67,"2,732.10","74,044.85"
224003 Otras provisiones,"9,968.08",182.07,0.00,714.68,157.40,0.32,"1,993.70","4,473.07",543.75,71.17,0.00,"1,352.53","19,456.78"
2250 Créditos diferidos,"20,844.00","32,714.14","14,887.80",922.80,32.60,"5,673.76","2,743.75","8,542.68",211.79,588.91,"1,129.83",59.94,"88,352.00"
23 Obligaciones convertibles en acciones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2311 Préstamos convertibles en acciones pactados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2321 Bonos convertibles en acciones pactados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2322 Bonos convertibles en acciones pactados a mas de un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24 deuda subordinada,"71,426.62",0.00,0.00,0.00,0.00,0.00,"30,554.15",0.00,0.00,0.00,0.00,0.00,"101,980.77"
241 deuda subordinada a plazo fijo,"71,426.62",0.00,0.00,0.00,0.00,0.00,"30,554.15",0.00,0.00,0.00,0.00,0.00,"101,980.77"
2413 deuda subordinada a cinco o mas años,"71,426.62",0.00,0.00,0.00,0.00,0.00,"30,554.15",0.00,0.00,0.00,0.00,0.00,"101,980.77"
Total pasivos,"5,090,951.90","3,518,480.91","2,762,364.53","1,856,837.59","190,302.64","396,501.69","1,227,072.51","2,855,018.37","124,192.51","507,999.15","716,428.71","969,021.14","20,215,171.65"
 ,,,,,,,,,,,,,
Patrimonio ,,,,,,,,,,,,,
31 Patrimonio,"489,839.75","346,829.44","306,776.40","142,971.96","40,429.19","43,866.07","103,600.07","297,227.68","24,959.09","66,180.85","107,385.35","97,669.87","2,067,735.73"
3110 Capital social pagado,"297,500.00","204,701.84","150,000.00","97,418.76","30,000.00","28,311.68","70,788.87","161,000.44","20,333.67","50,000.00","102,270.00","90,000.00","1,302,325.26"
3130 Reservas de capital,"162,513.85","90,187.82","126,153.65","26,879.52","4,152.01","4,113.97","16,933.45","40,250.11","3,704.79","2,553.74","4,101.83","1,921.78","483,466.53"
3140 Resultados por aplicar,"29,825.89","51,939.78","30,622.75","18,673.69","6,277.17","11,440.42","15,877.75","95,977.13",920.62,"13,627.11","1,013.53","5,748.09","281,943.94"
314001 Resultados de ejercicios anteriores,"5,422.13","44,383.52","24,098.00","15,567.65","5,653.18","10,494.53","14,778.79","89,488.65",0.43,"12,665.86",0.00,"4,631.76","227,184.49"
314002 Resultados del presente ejercicio,"24,403.76","7,556.27","6,524.75","3,106.04",623.99,945.89,"1,098.96","6,488.49",920.20,961.25,"1,013.53","1,116.33","54,759.45"
32 Patrimonio restringido,"71,275.38","61,836.23","26,841.76","31,126.23","1,385.33","14,721.65","17,409.58","26,944.78","6,723.54","3,763.13","8,132.95","11,330.88","281,491.45"
3210 Utilidades no distribuibles,"28,615.18","42,617.71","15,081.50","16,944.85","1,358.42",0.00,"13,678.78","21,919.52","6,722.93","3,572.00","6,002.95","6,093.17","162,607.03"
3220 Revaluaciones,"8,478.10","13,997.27","4,373.29","4,962.30",0.00,"10,831.26",0.00,0.00,0.00,0.00,0.00,44.27,"42,686.49"
3230 Recuperaciones de activos castigados,0.00,342.14,728.98,"4,493.58",0.00,0.00,437.21,718.37,0.00,0.00,37.00,98.35,"6,855.64"
3240 Donaciones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.70,32.70
3250 Provisiones,"34,182.09","4,879.11","6,657.99","4,725.50",26.91,"3,890.39","3,293.58","4,306.89",0.61,191.13,"2,093.01","5,062.38","69,309.59"
3260 Por instrumentos financieros derivados,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Total patrimonio,"561,115.12","408,665.67","333,618.16","174,098.19","41,814.51","58,587.72","121,009.65","324,172.46","31,682.64","69,943.98","115,518.31","109,000.75","2,349,227.18"
 ,,,,,,,,,,,,,
Total pasivo + patrimonio,"5,652,067.02","3,927,146.58","3,095,982.69","2,030,935.79","232,117.15","455,089.40","1,348,082.16","3,179,190.83","155,875.15","577,943.14","831,947.02","1,078,021.90","22,564,398.83"
 ,,,,,,,,,,,,,
5110 Obligaciones por cartas de crédito,"14,482.00","25,207.54","9,609.65",510.45,0.00,0.00,0.00,"53,190.68",0.00,"1,434.64","4,176.53",0.00,"108,611.48"
5120 Contingencias por avales y fianzas,"83,614.53","93,502.09","110,753.82","18,466.60","4,961.92","5,716.47","10,719.59","102,322.33",0.00,"19,340.65","1,908.77","2,921.77","454,228.54"
5131 Compromisos por operaciones en moneda extranjera,"15,363.49",729.54,0.00,0.00,23.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"16,116.02"
 ,,,,,,,,,,,,,
Total compromisos futuros y contingencias,"113,460.01","119,439.18","120,363.47","18,977.05","4,984.92","5,716.47","10,719.59","155,513.00",0.00,"20,775.29","6,085.30","2,921.77","578,956.05"
 ,,,,,,,,,,,,,
Total pasivo + patrimonio + comp. futuros y contingencias,"5,765,527.03","4,046,585.76","3,216,346.16","2,049,912.84","237,102.07","460,805.88","1,358,801.75","3,334,703.83","155,875.15","598,718.43","838,032.32","1,080,943.66","23,143,354.87"
 ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
