Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,
Datos al  30 de abril de 2025,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Apoyo Integral, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,
,,,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,,,
2220 Cuentas por pagar," 165,685.08 "," 25,600.49 "," 18,967.73 "," 6,153.94 "," 2,363.70 "," 18,429.39 "," 9,054.39 "," 11,853.06 ", 797.66 ," 9,772.92 "," 3,959.59 "," 2,041.70 "," 3,796.38 "," 278,476.03 ",
2221 Impuestos," 10,486.23 "," 6,764.09 "," 2,550.22 ", 457.09 ," 2,617.25 "," 1,356.62 "," 2,204.24 "," 2,751.67 ", 138.27 , 630.60 , 494.10 ," 1,784.50 ", 82.91 ," 32,317.80 ",
223 Retenciones y aportaciones patronales," 2,827.54 "," 3,993.29 "," 1,904.11 ", 574.08 , 153.41 , 272.87 ," 1,668.66 "," 2,027.24 ", 478.09 , 393.10 , 441.17 , 134.78 , 778.91 ," 15,647.26 ",
2230 Retenciones y aportaciones patronales," 2,827.54 "," 3,993.29 "," 1,904.11 ", 574.08 , 153.41 , 272.87 ," 1,668.66 "," 2,027.24 ", 478.09 , 393.10 , 441.17 , 134.78 , 778.91 ," 15,647.26 ",
224 Otros pasivos," 38,121.68 "," 12,918.73 "," 10,772.59 "," 3,564.04 "," 2,279.20 "," 3,231.24 "," 5,035.47 "," 16,547.75 ", 774.44 , 983.82 , 497.12 ," 1,177.84 "," 2,963.77 "," 98,867.69 ",
2240 Provisiones," 38,121.68 "," 12,918.73 "," 10,772.59 "," 3,564.04 "," 2,279.20 "," 3,231.24 "," 5,035.47 "," 16,547.75 ", 774.44 , 983.82 , 497.12 ," 1,177.84 "," 2,963.77 "," 98,867.69 ",
2241 Pasivos asociados a activos, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
2242 Opciones de pago basadas en el valor de las acciones, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
225 Pasivos diferidos," 11,097.21 "," 24,544.50 "," 15,220.53 "," 1,139.86 ", 74.27 ," 4,641.69 "," 2,147.14 "," 13,963.13 ", 618.49 ," 1,465.57 "," 1,238.80 ", 210.13 , -   ," 76,361.32 ",
2250 Pasivos diferidos," 11,097.21 "," 24,544.50 "," 15,220.53 "," 1,139.86 ", 74.27 ," 4,641.69 "," 2,147.14 "," 13,963.13 ", 618.49 ," 1,465.57 "," 1,238.80 ", 210.13 , -   ," 76,361.32 ",
Total Pasivos," 5,969,860.33 "," 3,989,037.06 "," 2,940,662.87 "," 2,098,517.54 "," 201,889.27 "," 441,045.81 "," 1,351,266.92 "," 3,465,898.36 "," 176,004.83 "," 782,122.01 "," 878,969.66 "," 236,351.32 "," 1,252,947.08 "," 23,784,573.07 ",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
31 Patrimonio," 501,302.23 "," 400,654.16 "," 338,307.05 "," 175,053.53 "," 41,649.48 "," 59,554.00 "," 99,774.61 "," 346,848.52 "," 30,203.16 "," 100,995.02 "," 89,903.11 "," 34,581.27 "," 118,064.93 "," 2,336,891.07 ",
311 Capital social," 297,500.00 "," 204,701.84 "," 150,000.00 "," 121,403.22 "," 22,000.00 "," 40,529.30 "," 75,788.87 "," 161,000.44 "," 23,643.70 "," 70,000.00 "," 80,000.00 "," 22,000.00 "," 113,703.50 "," 1,382,270.87 ",
3110 Capital social suscrito," 297,500.00 "," 204,701.84 "," 150,000.00 "," 121,403.22 "," 22,000.00 "," 40,529.30 "," 75,788.87 "," 161,000.44 "," 23,643.70 "," 70,000.00 "," 80,000.00 "," 22,000.00 "," 113,703.50 "," 1,382,270.87 ",
3111 Capital social variable, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
3120 Aportes de capital pendientes de formalizar, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
3130 Reservas de capital," 159,461.50 "," 90,187.82 "," 172,149.31 "," 30,351.51 "," 5,500.00 "," 6,145.76 "," 18,611.65 "," 40,250.11 "," 4,246.91 "," 4,326.83 "," 6,052.35 "," 4,300.12 "," 3,334.76 "," 544,918.62 ",
3140 Resultados por aplicar," 44,340.73 "," 105,764.50 "," 16,157.74 "," 23,298.80 "," 14,149.48 "," 12,878.93 "," 5,374.09 "," 145,597.98 "," 2,312.54 "," 26,668.19 "," 3,850.76 "," 8,281.15 "," 1,026.66 "," 409,701.58 ",
3150 Primas sobre acciones, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
32 Patrimonio restringido," 73,137.65 "," 60,539.74 "," 31,656.07 "," 41,974.53 "," 4,353.64 "," 13,748.35 "," 14,545.36 "," 31,055.45 "," 2,813.26 "," 4,546.60 "," 11,500.57 "," 3,819.46 "," 12,641.10 "," 306,331.80 ",
3210 Utilidades no distribuibles," 72,041.98 "," 46,952.50 "," 27,679.43 "," 37,419.25 "," 4,306.75 "," 2,917.09 "," 15,620.59 "," 32,662.35 "," 2,774.99 "," 4,666.05 "," 11,500.57 "," 3,969.60 "," 12,608.41 "," 275,119.57 ",
3220 Donaciones, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 32.70 , 32.70 ,
323 Otro resultado integral," 1,095.68 "," 13,587.24 "," 3,976.64 "," 4,555.28 ", 46.89 ," 10,831.26 ","-1,075.23 ","-1,606.90 ", 38.27 ,-119.45 , -   ,-150.14 , -   ," 31,179.53 ",
3230 Otro resultado integral de ejercicios anteriores," 1,095.68 "," 13,587.24 "," 3,976.64 "," 4,555.28 ", 46.89 ," 10,831.26 ","-1,075.23 ","-1,764.17 ", 38.27 , -   , -   ,-150.14 , -   ," 31,141.72 ",
3231 Otro resultado integral del presente ejercicio, -   , -   , -   , -   , -   , -   , -   , 157.27 , -   ,-119.45 , -   , -   , -   , 37.82 ,
,,,,,,,,,,,,,,,
Total Patrimonio," 574,439.89 "," 461,193.90 "," 369,963.12 "," 217,028.06 "," 46,003.12 "," 73,302.35 "," 114,319.97 "," 377,903.97 "," 33,016.42 "," 105,541.62 "," 101,403.68 "," 38,400.73 "," 130,706.03 "," 2,643,222.86 ",
,,,,,,,,,,,,,,,
Total pasivo + total patrimonio," 6,544,300.22 "," 4,450,230.97 "," 3,310,626.00 "," 2,315,545.60 "," 247,892.39 "," 514,348.16 "," 1,465,586.89 "," 3,843,802.33 "," 209,021.25 "," 887,663.63 "," 980,373.34 "," 274,752.04 "," 1,383,653.10 "," 26,427,795.93 ",
,,,,,,,,,,,,,,,
5110 Obligaciones por cartas de crédito," 10,885.73 "," 10,357.20 "," 11,540.41 "," 8,763.33 ", -   , -   , -   ," 94,604.28 ", -   ," 1,179.72 "," 4,000.00 ", -   , -   ," 141,330.66 ",
