Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,,,
Datos al 31 de Marzo de 2020,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Scotiabank El Salvador, S.A.","Banco de América Central, S.A.","Banco Abank, S.A. 1/","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,,,
Total patrimonio,"547,759.51","188,560.57","298,693.71","131,104.77","43,174.47","46,252.25","60,465.92","115,232.97","233,708.38","280,697.05","24,875.51","36,818.75","53,082.27","63,104.93","2,123,531.09"
 ,,,,,,,,,,,,,,,
Total pasivo + patrimonio,"5,342,079.19","1,715,981.36","2,859,581.46","1,142,265.15","297,648.08","428,239.30","416,187.51","1,258,103.84","2,034,404.16","2,753,232.07","78,751.47","404,446.73","507,611.11","675,629.12","19,914,160.56"
 ,,,,,,,,,,,,,,,
5110 Obligaciones por cartas de crédito,"14,276.93","12,362.93","17,514.75",276.24,0.00,0.00,"7,953.25",0.00,346.10,"40,777.04",0.00,328.42,0.00,0.00,"93,835.66"
5120 Contingencias por avales y fianzas,"134,540.41","47,069.82","87,667.02","13,954.05","8,864.07","6,383.48","3,227.68","9,349.86","123,580.91","70,845.31",0.00,"16,686.49",0.00,"2,813.79","524,982.91"
5131 Compromisos por operaciones en moneda extranjera,"4,106.83",0.00,0.00,0.00,10.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"4,117.69"
 ,,,,,,,,,,,,,,,
Total compromisos futuros y contingencias,"152,924.17","59,432.76","105,181.76","14,230.29","8,874.93","6,383.48","11,180.93","9,349.86","123,927.01","111,622.35",0.00,"17,014.91",0.00,"2,813.79","622,936.26"
 ,,,,,,,,,,,,,,,
Total pasivo + patrimonio + comp. futuros y contingencias,"5,495,003.37","1,775,414.12","2,964,763.23","1,156,495.44","306,523.01","434,622.78","427,368.44","1,267,453.70","2,158,331.17","2,864,854.43","78,751.47","421,461.64","507,611.11","678,442.91","20,537,096.82"
 ,,,,,,,,,,,,,,,
"1/ Mediante Escritura de Modificación al Pacto Social inscrita el 21 de agosto de 2019, Banco Azteca El Salvador, S. A. cambio su razón social a Banco Abank, S. A.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
