Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,
Datos al  30 de junio de 2025,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Apoyo Integral, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,
,,,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,,,
31 Patrimonio," 529,065.48 "," 412,030.82 "," 341,653.72 "," 180,208.16 "," 42,598.27 "," 60,840.73 "," 101,255.51 "," 349,357.78 "," 31,180.56 "," 102,127.37 "," 91,860.09 "," 35,412.66 "," 118,494.05 "," 2,396,085.19 ",
311 Capital social," 297,500.00 "," 204,701.84 "," 150,000.00 "," 121,403.22 "," 22,000.00 "," 40,529.30 "," 75,788.87 "," 161,000.44 "," 23,643.70 "," 70,000.00 "," 80,000.00 "," 22,000.00 "," 113,703.50 "," 1,382,270.87 ",
3110 Capital social suscrito," 297,500.00 "," 204,701.84 "," 150,000.00 "," 121,403.22 "," 22,000.00 "," 40,529.30 "," 75,788.87 "," 161,000.44 "," 23,643.70 "," 70,000.00 "," 80,000.00 "," 22,000.00 "," 113,703.50 "," 1,382,270.87 ",
3111 Capital social variable, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
3120 Aportes de capital pendientes de formalizar, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
3130 Reservas de capital," 159,461.50 "," 90,187.82 "," 172,149.31 "," 30,351.51 "," 5,500.00 "," 6,145.76 "," 18,611.65 "," 40,250.11 "," 4,246.91 "," 4,326.83 "," 6,052.35 "," 4,300.12 "," 3,334.76 "," 544,918.62 ",
3140 Resultados por aplicar," 72,103.98 "," 117,141.16 "," 19,504.41 "," 28,453.43 "," 15,098.27 "," 14,165.66 "," 6,854.99 "," 148,107.24 "," 3,289.95 "," 27,800.54 "," 5,807.74 "," 9,112.55 "," 1,455.79 "," 468,895.70 ",
3150 Primas sobre acciones, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
32 Patrimonio restringido," 73,790.14 "," 60,394.60 "," 31,790.36 "," 40,018.29 "," 4,353.64 "," 13,782.53 "," 14,460.99 "," 35,781.69 "," 2,823.26 "," 4,818.87 "," 11,518.36 "," 3,859.60 "," 12,827.74 "," 310,220.07 ",
3210 Utilidades no distribuibles," 72,694.46 "," 46,807.36 "," 27,873.67 "," 35,463.00 "," 4,306.75 "," 2,951.27 "," 15,536.22 "," 37,401.60 "," 2,784.99 "," 4,947.10 "," 11,518.36 "," 4,028.09 "," 12,795.04 "," 279,107.91 ",
3220 Donaciones, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 32.70 , 32.70 ,
323 Otro resultado integral," 1,095.68 "," 13,587.24 "," 3,916.69 "," 4,555.28 ", 46.89 ," 10,831.26 ","-1,075.23 ","-1,619.91 ", 38.27 ,-128.22 , -   ,-168.48 , -   ," 31,079.47 ",
