Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,,
Datos al 31 de octubre de 2024,,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Apoyo Integral, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,,
,,,,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,,,,
223 Retenciones y aportaciones patronales," 2,876.40 "," 3,994.88 "," 1,929.14 ", 515.92 , 235.83 , 206.44 ," 1,714.22 "," 2,260.20 ", 268.64 , 310.12 , 540.20 , 120.57 , 892.55 ," 15,865.13 ",,
2230 Retenciones y aportaciones patronales," 2,876.40 "," 3,994.88 "," 1,929.14 ", 515.92 , 235.83 , 206.44 ," 1,714.22 "," 2,260.20 ", 268.64 , 310.12 , 540.20 , 120.57 , 892.55 ," 15,865.13 ",,
224 Otros pasivos," 39,106.77 "," 13,542.76 "," 9,950.06 "," 3,501.60 "," 2,395.51 "," 3,105.72 "," 5,049.35 "," 18,110.20 ", 551.93 , 716.66 , 626.63 ," 1,005.32 "," 4,009.34 "," 101,671.86 ",,
2240 Provisiones," 39,106.77 "," 13,542.76 "," 9,950.06 "," 3,501.60 "," 2,395.51 "," 3,105.72 "," 5,049.35 "," 18,110.20 ", 551.93 , 716.66 , 626.63 ," 1,005.32 "," 4,009.34 "," 101,671.86 ",,
2241 Pasivos asociados a activos, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
2242 Opciones de pago basadas en el valor de las acciones, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
225 Pasivos diferidos," 9,594.69 "," 28,762.44 "," 12,725.48 "," 1,266.69 ", 28.30 ," 5,567.69 "," 2,352.88 "," 12,093.90 ", 577.97 ," 1,034.53 "," 1,168.78 ", 217.93 , 27.73 ," 75,419.00 ",,
2250 Pasivos diferidos," 9,594.69 "," 28,762.44 "," 12,725.48 "," 1,266.69 ", 28.30 ," 5,567.69 "," 2,352.88 "," 12,093.90 ", 577.97 ," 1,034.53 "," 1,168.78 ", 217.93 , 27.73 ," 75,419.00 ",,
Total Pasivos," 5,224,152.49 "," 3,682,894.95 "," 2,960,463.58 "," 2,012,457.27 "," 191,315.86 "," 421,364.99 "," 1,297,648.74 "," 3,258,685.07 "," 152,963.90 "," 634,362.77 "," 784,331.04 "," 217,947.21 "," 1,225,750.48 "," 22,064,338.35 ",,
,,,,,,,,,,,,,,,,
Patrimonio,,,,,,,,,,,,,,,,
31 Patrimonio," 579,428.88 "," 404,429.12 "," 339,864.11 "," 170,204.16 "," 36,349.95 "," 55,630.49 "," 100,854.52 "," 334,420.03 "," 32,649.87 "," 97,480.25 "," 92,863.17 "," 35,087.51 "," 119,702.62 "," 2,398,964.68 ",,
311 Capital social," 297,500.00 "," 204,701.84 "," 150,000.00 "," 121,403.22 "," 22,000.00 "," 28,311.68 "," 75,788.87 "," 161,000.44 "," 23,643.70 "," 70,000.00 "," 80,000.00 "," 22,000.00 "," 113,703.50 "," 1,370,053.25 ",,
3110 Capital social suscrito," 297,500.00 "," 204,701.84 "," 150,000.00 "," 121,403.22 "," 22,000.00 "," 28,311.68 "," 75,788.87 "," 161,000.44 "," 23,643.70 "," 70,000.00 "," 80,000.00 "," 22,000.00 "," 113,703.50 "," 1,370,053.25 ",,
3111 Capital social variable, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
3120 Aportes de capital pendientes de formalizar, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
3130 Reservas de capital," 166,896.59 "," 90,187.82 "," 162,149.31 "," 28,159.39 "," 4,719.52 "," 5,084.29 "," 17,697.22 "," 40,250.11 "," 3,942.14 "," 3,414.23 "," 5,115.45 "," 3,750.00 "," 2,932.56 "," 534,298.63 ",,
3140 Resultados por aplicar," 115,032.29 "," 109,539.47 "," 27,714.80 "," 20,641.55 "," 9,630.43 "," 22,234.52 "," 7,368.43 "," 133,169.49 "," 5,064.03 "," 24,066.02 "," 7,747.72 "," 9,337.51 "," 3,066.56 "," 494,612.80 ",,
3150 Primas sobre acciones, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
32 Patrimonio restringido," 58,006.29 "," 57,112.22 "," 28,625.18 "," 40,313.39 "," 6,640.21 "," 14,162.75 "," 17,455.60 "," 24,185.98 "," 3,225.50 "," 4,211.64 "," 9,117.54 "," 3,781.86 "," 9,931.60 "," 276,769.76 ",,
3210 Utilidades no distribuibles," 56,743.09 "," 43,630.36 "," 24,504.19 "," 35,351.09 "," 6,574.22 "," 3,331.49 "," 18,236.77 "," 26,013.21 "," 3,187.59 "," 4,211.64 "," 9,117.54 "," 3,896.89 "," 9,898.91 "," 244,696.98 ",,
3220 Donaciones, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 32.70 , 32.70 ,,
