Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,,
Datos al 31 de enero de 2025,,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Apoyo Integral, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,,
,,,,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,,,,
2240 Provisiones," 39,166.02 "," 11,714.87 "," 12,130.76 "," 3,007.00 "," 2,074.39 "," 2,752.74 "," 4,813.11 "," 15,101.84 ", 622.42 , 664.49 , 397.88 , 793.99 ," 2,985.37 "," 96,224.88 ",,
2241 Pasivos asociados a activos, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
2242 Opciones de pago basadas en el valor de las acciones, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
225 Pasivos diferidos," 10,639.31 "," 24,932.57 "," 14,611.69 "," 1,160.85 ", 37.94 ," 4,863.61 "," 2,249.30 "," 12,886.91 ", 597.73 ," 1,114.37 "," 1,131.47 ", 216.39 , -   ," 74,442.12 ",,
2250 Pasivos diferidos," 10,639.31 "," 24,932.57 "," 14,611.69 "," 1,160.85 ", 37.94 ," 4,863.61 "," 2,249.30 "," 12,886.91 ", 597.73 ," 1,114.37 "," 1,131.47 ", 216.39 , -   ," 74,442.12 ",,
Total Pasivos," 5,506,029.45 "," 3,774,561.64 "," 2,987,924.53 "," 2,034,828.01 "," 156,292.58 "," 419,925.58 "," 1,325,471.64 "," 3,449,888.12 "," 162,827.64 "," 694,922.35 "," 799,963.89 "," 229,669.25 "," 1,189,842.24 "," 22,732,146.93 ",,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
31 Patrimonio," 604,579.55 "," 419,901.48 "," 344,467.53 "," 172,055.81 "," 40,062.58 "," 57,813.32 "," 104,443.26 "," 332,471.97 "," 32,708.10 "," 99,221.52 "," 92,189.18 "," 35,822.80 "," 117,559.02 "," 2,453,296.13 ",,
311 Capital social," 297,500.00 "," 204,701.84 "," 150,000.00 "," 121,403.22 "," 22,000.00 "," 28,311.68 "," 75,788.87 "," 161,000.44 "," 23,643.70 "," 70,000.00 "," 80,000.00 "," 22,000.00 "," 113,703.50 "," 1,370,053.25 ",,
3110 Capital social suscrito," 297,500.00 "," 204,701.84 "," 150,000.00 "," 121,403.22 "," 22,000.00 "," 28,311.68 "," 75,788.87 "," 161,000.44 "," 23,643.70 "," 70,000.00 "," 80,000.00 "," 22,000.00 "," 113,703.50 "," 1,370,053.25 ",,
3111 Capital social variable, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
3120 Aportes de capital pendientes de formalizar, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
3130 Reservas de capital," 166,896.59 "," 90,187.82 "," 162,149.31 "," 30,351.51 "," 5,500.00 "," 6,145.76 "," 18,611.65 "," 40,250.11 "," 4,246.91 "," 4,326.83 "," 6,052.35 "," 4,300.12 "," 3,334.76 "," 542,353.71 ",,
3140 Resultados por aplicar," 140,182.96 "," 125,011.82 "," 32,318.23 "," 20,301.08 "," 12,562.58 "," 23,355.87 "," 10,042.74 "," 131,221.43 "," 4,817.49 "," 24,894.69 "," 6,136.83 "," 9,522.69 ", 520.76 ," 540,889.18 ",,
3150 Primas sobre acciones, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
32 Patrimonio restringido," 65,335.80 "," 60,135.34 "," 31,200.41 "," 41,488.24 "," 4,353.64 "," 13,783.98 "," 15,596.54 "," 30,817.86 "," 2,813.76 "," 4,383.16 "," 11,609.82 "," 3,824.40 "," 12,596.09 "," 297,939.05 ",,
3210 Utilidades no distribuibles," 64,240.12 "," 46,548.10 "," 27,153.31 "," 36,932.96 "," 4,306.75 "," 2,952.72 "," 16,671.77 "," 32,611.59 "," 2,775.49 "," 4,502.62 "," 11,609.82 "," 3,974.54 "," 12,563.40 "," 266,843.20 ",,
3220 Donaciones, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 32.70 , 32.70 ,,
