Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,
Datos al  31 de marzo de 2025,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Apoyo Integral, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,
,,,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,,,
2116 Préstamos pactados hasta un año plazo, -   ," 1,363.58 "," 20,386.04 "," 15,067.61 "," 15,001.81 ", 16.16 ," 28,481.35 "," 63,239.11 "," 3,675.14 "," 44,273.20 "," 10,906.19 "," 17,158.36 "," 20,437.77 "," 240,006.32 ",
2117 Préstamos pactados a más de un año plazo," 73,111.63 "," 67,662.95 "," 57,395.46 "," 55,736.85 ", -   ," 2,684.30 "," 53,751.78 "," 220,639.97 ", -   ," 49,423.71 "," 35,208.03 "," 30,827.84 "," 71,763.49 "," 718,206.02 ",
2118 Préstamos pactados a cinco o mas años plazo," 240,892.74 "," 144,026.64 "," 57,563.82 "," 2,826.85 "," 1,239.85 "," 20,229.34 "," 51,508.28 ", -   ," 3,547.84 ", -   ," 101,853.56 "," 12,093.19 "," 41,886.01 "," 677,668.13 ",
2119 Préstamos subordinados," 69,713.65 ", -   , -   , -   , -   , -   ," 44,578.41 ", -   , -   , -   , -   , -   , -   ," 114,292.05 ",
212 Títulos de emisión propia," 118,285.24 "," 143,437.49 "," 143,571.05 "," 398,289.97 ", -   , -   ," 39,801.37 "," 147,830.60 "," 7,680.20 "," 54,434.36 "," 15,855.19 "," 9,542.72 "," 165,192.50 "," 1,243,920.68 ",
2120 Títulos de emisión propia," 118,285.24 "," 143,437.49 "," 143,571.05 "," 398,289.97 ", -   , -   ," 39,801.37 "," 147,830.60 "," 7,680.20 "," 54,434.36 "," 15,855.19 "," 9,542.72 "," 165,192.50 "," 1,243,920.68 ",
213 Obligaciones a la vista," 14,927.47 "," 19,923.28 "," 11,102.44 "," 28,122.80 "," 1,006.90 ", 153.29 ," 5,946.84 "," 33,807.82 ", 580.29 ," 4,335.04 "," 3,892.00 "," 1,474.73 "," 3,202.43 "," 128,475.32 ",
2130 Obligaciones a la vista," 14,927.47 "," 19,923.28 "," 11,102.44 "," 28,122.80 "," 1,006.90 ", 153.29 ," 5,946.84 "," 33,807.82 ", 580.29 ," 4,335.04 "," 3,892.00 "," 1,474.73 "," 3,202.43 "," 128,475.32 ",
22 Otros pasivos," 237,886.48 "," 84,521.79 "," 49,324.72 "," 10,843.20 "," 6,389.19 "," 30,753.51 "," 22,337.75 "," 46,355.78 "," 6,175.24 "," 22,967.65 "," 5,869.76 "," 5,939.49 "," 9,021.08 "," 538,385.63 ",
221 Saldos entre compañias, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
2210 Saldos entre compañias, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
222 Cuentas por pagar," 184,997.19 "," 43,689.58 "," 21,685.12 "," 5,721.56 "," 3,988.99 "," 22,571.10 "," 13,673.27 "," 14,312.96 "," 4,484.53 "," 20,310.44 "," 3,921.26 "," 4,297.42 "," 5,347.91 "," 349,001.34 ",
2220 Cuentas por pagar," 155,549.79 "," 28,320.80 "," 19,878.73 "," 4,980.16 "," 1,440.71 "," 18,848.49 "," 9,707.18 "," 10,569.79 "," 4,437.18 "," 18,101.89 "," 3,114.33 "," 2,119.22 "," 4,954.89 "," 282,023.15 ",
2221 Impuestos," 29,447.40 "," 15,368.78 "," 1,806.40 ", 741.40 ," 2,548.29 "," 3,722.61 "," 3,966.09 "," 3,743.17 ", 47.35 ," 2,208.55 ", 806.93 ," 2,178.20 ", 393.02 ," 66,978.19 ",
223 Retenciones y aportaciones patronales," 5,212.93 "," 4,049.60 "," 3,355.87 ", 650.71 , 170.42 , 216.04 ," 1,878.31 "," 2,789.39 ", 310.65 , 410.74 , 408.98 , 137.88 , 948.70 ," 20,540.22 ",
