Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,,,
Datos al 31 de Mayo de 2020,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco Cuscatlán Sv, S.A.  1/","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,,,
314002 Resultados del presente ejercicio,"35,420.19","7,191.05","8,534.51","3,124.75",918.75,"1,127.71",581.24,"2,017.20","5,064.62","11,423.17",659.48,741.10,-86.29,436.73,"77,154.23"
32 Patrimonio restringido,"82,307.85","27,697.63","39,849.91","26,118.52","4,399.19","13,801.61","2,874.40","14,133.01","30,791.92","25,891.13",743.63,"2,458.46",0.00,"9,490.27","280,557.51"
3210 Utilidades no distribuibles,"28,671.26","18,369.93","19,091.41","13,723.62","4,367.81",0.00,"1,311.79","8,733.50","20,090.48","18,590.82",742.22,"2,356.76",0.00,"4,666.40","140,716.00"
3220 Revaluaciones,"9,860.23","8,817.28","4,343.63","4,962.30",0.00,"10,141.92",0.00,0.00,"5,341.68",0.00,0.00,0.00,0.00,0.00,"43,467.04"
3230 Recuperaciones de activos castigados,0.00,8.59,"1,208.22","2,471.01",0.00,0.00,51.13,228.01,159.50,998.77,0.00,0.00,0.00,41.74,"5,166.98"
3240 Donaciones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.70,32.70
3250 Provisiones,"43,776.35",501.83,"15,206.65","4,961.59",31.38,"3,659.69","1,511.48","5,171.50","5,200.26","6,301.54",1.41,101.70,0.00,"4,749.43","91,174.79"
Total patrimonio,"557,622.74","192,878.50","301,850.87","132,019.93","43,512.10","47,138.34","60,634.77","116,405.77","235,382.46","284,925.32","25,226.97","37,109.94","53,257.97","73,340.06","2,161,305.75"
 ,,,,,,,,,,,,,,,
Total pasivo + patrimonio,"5,280,292.56","1,720,422.16","2,945,522.91","1,183,868.43","299,648.43","413,046.05","425,389.95","1,299,420.36","1,983,268.60","2,766,611.76","80,957.13","404,579.08","491,667.37","672,733.61","19,967,428.41"
 ,,,,,,,,,,,,,,,
5110 Obligaciones por cartas de crédito,"14,577.22","11,479.48","8,432.04",340.56,26.00,0.00,"7,597.01",0.00,71.22,"39,142.75",0.00,291.30,0.00,0.00,"81,957.59"
5120 Contingencias por avales y fianzas,"109,490.19","44,821.20","89,119.09","14,066.22","9,153.56","6,383.48","3,227.68","9,499.34","114,366.12","70,507.26",0.00,"17,227.55",0.00,"3,113.67","490,975.37"
5131 Compromisos por operaciones en moneda extranjera,"3,555.83",167.53,0.00,0.00,446.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"4,170.19"
 ,,,,,,,,,,,,,,,
Total compromisos futuros y contingencias,"127,623.25","56,468.22","97,551.13","14,406.79","9,626.38","6,383.48","10,824.69","9,499.34","114,437.34","109,650.01",0.00,"17,518.86",0.00,"3,113.67","577,103.15"
 ,,,,,,,,,,,,,,,
Total pasivo + patrimonio + comp. futuros y contingencias,"5,407,915.81","1,776,890.38","3,043,074.04","1,198,275.22","309,274.81","419,429.53","436,214.64","1,308,919.70","2,097,705.94","2,876,261.77","80,957.13","422,097.94","491,667.37","675,847.28","20,544,531.56"
 ,,,,,,,,,,,,,,,
"1/ Mediante Escritura de Modificación al Pacto Social inscrita el 22 de mayo de 2020, Scotiabank El Salvador, S. A. cambio su razón social a Banco Cuscatlán SV, S. A.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
