Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,
Datos al 31 de mayo de 2024,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agricola, S.A.","Banco Cuscatlan de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,,
212 Títulos de emisión propia,"168,738.7","193,870.2","216,672.6","347,080.9",0.0,0.0,"43,748.3","145,954.0","8,960.9","64,633.0","50,170.0","185,492.2","1,425,320.9",,
2120 Títulos de emisión propia,"168,738.7","193,870.2","216,672.6","347,080.9",0.0,0.0,"43,748.3","145,954.0","8,960.9","64,633.0","50,170.0","185,492.2","1,425,320.9",,
213 Obligaciones a la vista,"21,485.3","22,161.1","12,503.3","33,871.2","1,822.8",30.2,"7,189.8","17,689.9",828.5,"2,993.9","2,599.8","1,326.7","124,502.5",,
2130 Obligaciones a la vista,"21,485.3","22,161.1","12,503.3","33,871.2","1,822.8",30.2,"7,189.8","17,689.9",828.5,"2,993.9","2,599.8","1,326.7","124,502.5",,
22 Otros pasivos,"174,281.7","80,917.1","48,199.4","11,852.8","4,555.5","29,108.4","19,167.5","54,862.3","2,542.1","43,686.5","8,940.9","15,495.2","493,609.4",,
221 Saldos entre compañias,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2210 Saldos entre compañias,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
222 Cuentas por pagar,"127,379.4","34,021.0","21,765.9","5,864.9","2,070.5","20,548.1","10,091.8","27,760.7",921.4,"41,672.5","6,575.4","11,424.7","310,096.5",,
2220 Cuentas por pagar,"110,881.8","26,590.4","18,867.7","5,864.9","1,101.6","19,120.5","7,894.8","25,249.6",835.8,"40,731.4","4,595.2","11,163.9","272,897.7",,
2221 Impuestos,"16,497.7","7,430.6","2,898.1",0.0,968.9,"1,427.6","2,197.0","2,511.1",85.6,941.1,"1,980.2",260.8,"37,198.8",,
223 Retenciones y aportaciones patronales,"3,860.5","3,782.2","1,827.7",522.8,233.3,190.0,"1,638.3","1,848.9",262.3,314.9,586.5,598.1,"15,665.4",,
2230 Retenciones y aportaciones patronales,"3,860.5","3,782.2","1,827.7",522.8,233.3,190.0,"1,638.3","1,848.9",262.3,314.9,586.5,598.1,"15,665.4",,
224 Otros pasivos,"33,723.7","13,175.1","9,846.1","4,128.1","2,206.7","3,181.3","4,897.6","14,586.3",800.3,680.2,395.9,"3,442.7","91,064.1",,
2240 Provisiones,"33,723.7","13,175.1","9,846.1","4,128.1","2,206.7","3,181.3","4,897.6","14,586.3",800.3,680.2,395.9,"3,442.7","91,064.1",,
2241 Pasivos asociados a activos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2242 Opciones de pago basadas en el valor de las acciones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
225 Pasivos diferidos,"9,318.1","29,938.8","14,759.7","1,337.0",45.0,"5,189.0","2,539.8","10,666.4",558.0,"1,019.0","1,383.1",29.6,"76,783.4",,
2250 Pasivos diferidos,"9,318.1","29,938.8","14,759.7","1,337.0",45.0,"5,189.0","2,539.8","10,666.4",558.0,"1,019.0","1,383.1",29.6,"76,783.4",,
Total Pasivos,"5,314,797.8","3,664,888.2","2,796,373.7","2,041,437.6","188,401.4","405,814.2","1,265,214.7","3,061,125.4","153,825.5","633,392.2","807,066.5","1,133,650.4","21,465,987.6",,
,,,,,,,,,,,,,,,
Patrimonio,,,,,,,,,,,,,,,
31 Patrimonio,"526,068.3","382,856.4","328,760.8","157,204.9","34,600.3","53,310.6","98,969.6","316,160.3","30,203.1","74,354.6","87,908.6","109,079.7","2,199,477.2",,
311 Capital social,"297,500.0","204,701.8","150,000.0","121,403.2","22,000.0","28,311.7","70,788.9","161,000.4","20,643.7","50,000.0","80,000.0","90,000.0","1,296,349.7",,
3110 Capital social suscrito,"297,500.0","204,701.8","150,000.0","121,403.2","22,000.0","28,311.7","70,788.9","161,000.4","20,643.7","50,000.0","80,000.0","90,000.0","1,296,349.7",,
3111 Capital social variable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
3120 Aportes de capital pendientes de formalizar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
3130 Reservas de capital,"166,896.6","90,187.8","162,149.3","28,159.4","4,719.5","5,084.3","17,697.2","40,250.1","3,942.1","3,414.2","5,115.5","2,932.6","530,548.6",,
3140 Resultados por aplicar,"61,671.7","87,966.7","16,611.5","7,642.3","7,880.8","19,914.7","10,483.5","114,909.7","5,617.3","20,940.3","2,793.1","16,147.2","372,578.8",,
3150 Primas sobre acciones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
32 Patrimonio restringido,"58,726.5","56,893.9","31,174.0","39,289.3","6,640.2","14,710.3","16,003.6","29,772.7","3,187.6","4,253.4","8,964.3","9,966.9","279,582.7",,
3210 Utilidades no distribuibles,"57,463.3","43,423.3","27,054.4","34,327.0","6,574.2","3,879.1","16,784.8","30,201.0","3,187.6","4,253.4","8,964.3","9,934.2","246,046.7",,
3220 Donaciones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.7,32.7,,
323 Otro resultado integral,"1,263.2","13,470.5","4,119.5","4,962.3",66.0,"10,831.3",-781.2,-428.3,0.0,0.0,0.0,0.0,"33,503.3",,
3230 Otro resultado integral de ejercicios anteriores,"1,263.2","13,470.5","4,119.5","4,962.3",66.0,"10,831.3",-781.2,-428.3,0.0,0.0,0.0,0.0,"33,503.3",,
3231 Otro resultado integral del presente ejercicio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
,,,,,,,,,,,,,,,
Total Patrimonio,"584,794.9","439,750.2","359,934.7","196,494.2","41,240.5","68,020.9","114,973.2","345,933.0","33,390.7","78,607.9","96,872.9","119,046.7","2,479,059.9",,
,,,,,,,,,,,,,,,
Total pasivo + total patrimonio,"5,899,592.7","4,104,638.4","3,156,308.4","2,237,931.8","229,641.9","473,835.2","1,380,187.9","3,407,058.4","187,216.2","712,000.1","903,939.4","1,252,697.0","23,945,047.5",,
,,,,,,,,,,,,,,,
5110 Obligaciones por cartas de crédito,"23,863.2","13,658.1","9,834.2","1,688.1",0.0,0.0,60.0,"53,621.5",0.0,"1,216.0","5,243.7",0.0,"109,184.9",,
5120 Contingencias por avales y fianzas,"83,617.4","64,783.1","130,502.9","18,588.3","4,823.4","5,732.4","6,134.5","62,183.2",0.0,"19,289.0","1,681.5","6,236.9","403,572.6",,
5130 Operaciones con instrumentos financieros derivados,"12,996.2",217.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"13,213.3",,
5140 Procesos judiciales abiertos contra la entidad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
5180 Otras,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
,,,,,,,,,,,,,,,
Total de compromisos y contingencias,"120,476.8","78,658.3","140,337.1","20,276.5","4,823.4","5,732.4","6,194.6","115,804.6",0.0,"20,505.0","6,925.3","6,236.9","525,970.8",,
,,,,,,,,,,,,,,,
Total pasivo + patrimonio + compromisos futuros y contingencias,"6,020,069.5","4,183,296.7","3,296,645.5","2,258,208.3","234,465.3","479,567.6","1,386,382.5","3,522,863.0","187,216.2","732,505.1","910,864.6","1,258,934.0","24,471,018.3",,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
