Superintendencia del Sistema Financiero,,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,,
Datos al 31 de Diciembre de 2021,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,,
2240 Provisiones,"32,105.71","12,821.37","5,122.33","5,287.35","1,917.79","3,082.02",371.35,"3,618.85","6,580.31",684.78,147.82,293.32,"2,492.27","74,525.29"
224003 Otras provisiones,"9,080.79",247.94,0.00,714.08,150.60,31.94,0.00,"1,876.38","2,386.14",253.85,40.82,0.00,"1,311.02","16,093.55"
2250 Créditos diferidos,"16,318.96","6,012.37","14,706.59","1,300.81",131.63,"5,549.71",60.11,"3,297.00","7,219.34",0.00,453.24,381.34,60.14,"55,491.25"
23 Obligaciones convertibles en acciones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2311 Préstamos convertibles en acciones pactados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2321 Bonos convertibles en acciones pactados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2322 Bonos convertibles en acciones pactados a mas de un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24 deuda subordinada,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"30,417.72",0.00,0.00,0.00,0.00,0.00,"30,417.72"
241 deuda subordinada a plazo fijo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"30,417.72",0.00,0.00,0.00,0.00,0.00,"30,417.72"
2413 deuda subordinada a cinco o mas años,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"30,417.72",0.00,0.00,0.00,0.00,0.00,"30,417.72"
Total pasivos,"4,608,117.31","3,258,596.41","2,613,098.52","1,482,823.28","168,862.37","414,614.87","316,534.70","1,199,011.53","2,679,137.02","81,251.77","407,072.32","515,534.62","913,107.23","18,657,761.96"
 ,,,,,,,,,,,,,,
Patrimonio ,,,,,,,,,,,,,,
31 Patrimonio,"604,585.12","366,167.48","310,991.43","123,699.14","35,132.12","37,770.47","57,518.97","104,382.08","273,907.05","23,594.71","39,857.15","53,678.94","78,736.20","2,110,020.86"
3110 Capital social pagado,"297,500.00","204,701.84","150,000.00","73,434.29","30,000.00","25,205.92","51,598.94","70,788.87","161,000.44","20,333.67","30,000.00","80,000.00","75,000.00","1,269,563.98"
3130 Reservas de capital,"178,150.72","90,187.82","109,621.29","31,041.63","3,848.05","3,306.94","3,891.27","16,075.33","40,250.11","3,260.83","1,795.08",342.14,"1,582.84","483,354.05"
3140 Resultados por aplicar,"128,934.40","71,277.83","51,370.14","19,223.21","1,284.08","9,257.61","2,028.75","17,517.88","72,656.51",0.20,"8,062.07","-26,663.20","2,153.36","357,102.84"
314001 Resultados de ejercicios anteriores,"17,838.80","28,117.11","29,131.43","3,980.95",735.91,"6,261.85",776.58,"13,178.76","49,644.30",0.20,"3,917.47","-26,663.20","-3,692.48","123,227.68"
314002 Resultados del presente ejercicio,"111,095.60","43,160.72","22,238.72","15,242.26",548.17,"2,995.76","1,252.18","4,339.11","23,012.21",0.00,"4,144.60",0.00,"5,845.83","233,875.16"
32 Patrimonio restringido,"87,956.02","61,238.99","27,282.74","32,192.52","3,784.05","13,906.45","3,044.16","21,658.03","27,906.14","4,015.80","3,385.19","3,048.17","12,081.48","301,499.74"
3210 Utilidades no distribuibles,"31,450.40","43,853.63","13,081.14","17,924.99","3,462.75",0.00,"1,707.23","15,540.82","21,591.33","4,014.96","3,287.14","2,805.64","6,237.06","164,957.09"
3220 Revaluaciones,"9,850.58","14,158.79","4,369.20","4,962.30",0.00,"10,831.26",0.00,0.00,0.00,0.00,0.00,0.00,44.27,"44,216.41"
3230 Recuperaciones de activos castigados,0.00,268.53,822.29,"3,495.55",0.00,0.00,39.97,263.57,986.72,0.00,0.00,0.00,40.52,"5,917.15"
3240 Donaciones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.70,32.70
3250 Provisiones,"46,655.04","2,958.04","9,010.11","5,809.67",321.30,"3,075.19","1,296.96","5,853.63","5,328.10",0.84,98.05,242.52,"5,726.93","86,376.39"
3260 Por instrumentos financieros derivados,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Total patrimonio,"692,541.14","427,406.47","338,274.18","155,891.65","38,916.17","51,676.93","60,563.13","126,040.11","301,813.20","27,610.51","43,242.34","56,727.10","90,817.68","2,411,520.61"
 ,,,,,,,,,,,,,,
Total pasivo + patrimonio,"5,300,658.46","3,686,002.88","2,951,372.70","1,638,714.93","207,778.54","466,291.79","377,097.84","1,325,051.64","2,980,950.22","108,862.28","450,314.66","572,261.72","1,003,924.91","21,069,282.57"
 ,,,,,,,,,,,,,,
5110 Obligaciones por cartas de crédito,"43,289.82","15,152.29","20,128.72",908.37,735.00,0.00,"2,907.01",0.00,"36,476.97",0.00,"1,095.89",100.22,0.00,"120,794.27"
5120 Contingencias por avales y fianzas,"142,845.79","109,162.88","89,915.15","15,998.15","8,450.73","6,360.76","3,094.13","10,261.99","109,573.08",0.00,"18,489.21",0.00,"5,561.37","519,713.24"
5131 Compromisos por operaciones en moneda extranjera,"14,705.23",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"14,705.23"
 ,,,,,,,,,,,,,,
Total compromisos futuros y contingencias,"200,840.83","124,315.17","110,043.87","16,906.52","9,185.73","6,360.76","6,001.13","10,261.99","146,050.05",0.00,"19,585.10",100.22,"5,561.37","655,212.74"
 ,,,,,,,,,,,,,,
Total pasivo + patrimonio + comp. futuros y contingencias,"5,501,499.29","3,810,318.05","3,061,416.56","1,655,621.46","216,964.27","472,652.55","383,098.97","1,335,313.63","3,127,000.26","108,862.28","469,899.76","572,361.94","1,009,486.28","21,724,495.31"
 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
