Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,
Datos al 31 de Enero de 2024,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agricola, S.A.","Banco Cuscatlan de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,,
3110 Capital social suscrito,"297,500.0","204,701.8","150,000.0","121,403.2","22,000.0","28,311.7","70,788.9","161,000.4","20,643.7","50,000.0","80,000.0","90,000.0","1,296,349.7",,
3111 Capital social variable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
3120 Aportes de capital pendientes de formalizar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
3130 Reservas de capital,"162,513.9","90,187.8","147,618.6","20,836.4","4,719.5","5,084.3","17,697.2","40,250.1","3,942.1","3,414.2","5,115.5","2,932.6","504,312.2",,
3140 Resultados por aplicar,"143,494.9","98,249.1","37,130.5","10,966.7","5,124.2","17,267.8","20,737.2","119,654.5","6,284.3","18,602.9","7,484.0","14,246.0","499,242.2",,
3150 Primas sobre acciones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
32 Patrimonio restringido,"58,834.9","59,364.7","28,426.1","39,205.9","5,414.0","14,843.2","17,448.2","25,649.8","3,187.6","4,239.7","8,801.3","10,349.7","275,765.2",,
3210 Utilidades no distribuibles,"57,571.7","45,894.2","24,307.8","34,243.6","5,348.1","4,012.0","17,448.2","26,170.3","3,187.6","4,239.7","8,801.3","10,272.7","241,497.1",,
3220 Donaciones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.7,32.7,,
323 Otro resultado integral,"1,263.2","13,470.5","4,118.4","4,962.3",66.0,"10,831.3",0.0,-520.5,0.0,0.0,0.0,44.3,"34,235.5",,
3230 Otro resultado integral de ejercicios anteriores,"1,263.2","13,470.5","4,118.4","4,962.3",66.0,"10,831.3",0.0,-520.5,0.0,0.0,0.0,44.3,"34,235.5",,
3231 Otro resultado integral del presente ejercicio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
,,,,,,,,,,,,,,,
Total Patrimonio,"662,343.7","452,503.5","363,175.3","192,412.1","37,257.8","65,507.0","126,671.5","346,554.8","34,057.8","76,256.8","101,400.7","117,528.3","2,575,669.3",,
,,,,,,,,,,,,,,,
Total pasivo + total patrimonio,"5,795,324.0","4,043,743.8","3,157,291.7","2,259,652.7","231,694.4","475,290.8","1,373,405.7","3,348,107.3","181,701.1","668,186.6","875,822.4","1,228,562.1","23,638,782.7",,
,,,,,,,,,,,,,,,
5110 Obligaciones por cartas de crédito,"17,196.3","24,892.9","14,632.5",202.4,0.0,0.0,0.0,"62,610.0",0.0,"1,150.9","2,331.1",0.0,"123,016.1",,
5120 Contingencias por avales y fianzas,"91,129.9","80,573.9","123,047.0","18,713.8","4,908.6","5,732.4","6,992.5","73,723.1",0.0,"20,655.7","2,046.5","6,316.9","433,840.3",,
5130 Operaciones con instrumentos financieros derivados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
5140 Procesos judiciales abiertos contra la entidad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
5180 Otras,0.0,0.0,0.0,0.0,35.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.7,,
,,,,,,,,,,,,,,,
Total de compromisos y contingencias,"108,326.2","105,466.7","137,679.5","18,916.1","4,944.2","5,732.4","6,992.5","136,333.1",0.0,"21,806.7","4,377.6","6,316.9","556,892.0",,
,,,,,,,,,,,,,,,
Total pasivo + patrimonio + compromisos futuros y contingencias,"5,903,650.2","4,149,210.5","3,294,971.2","2,278,568.9","236,638.6","481,023.2","1,380,398.2","3,484,440.5","181,701.1","689,993.3","880,200.0","1,234,879.0","24,195,674.7",,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
