Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,,
Datos al 30 de septiembre de 2024,,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Apoyo Integral, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,,
,,,,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,,,,
3150 Primas sobre acciones, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
32 Patrimonio restringido," 57,705.65 "," 56,633.33 "," 28,936.56 "," 39,971.98 "," 6,640.21 "," 14,135.88 "," 16,079.29 "," 24,309.88 "," 3,187.60 "," 4,256.83 "," 9,086.09 "," 3,843.70 "," 10,023.00 "," 274,810.01 ",,
3210 Utilidades no distribuibles," 56,442.46 "," 43,151.47 "," 24,815.85 "," 35,009.69 "," 6,574.22 "," 3,304.62 "," 16,860.47 "," 26,042.22 "," 3,187.60 "," 4,256.83 "," 9,086.09 "," 3,958.73 "," 9,990.30 "," 242,680.54 ",,
3220 Donaciones, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 32.70 , 32.70 ,,
323 Otro resultado integral," 1,263.19 "," 13,481.86 "," 4,120.70 "," 4,962.30 ", 65.99 ," 10,831.26 ",-781.17 ,"-1,732.34 ", -   , -   , -   ,-115.03 , -   ," 32,096.77 ",,
3230 Otro resultado integral de ejercicios anteriores," 1,263.19 "," 13,481.86 "," 4,120.70 "," 4,962.30 ", 65.99 ," 10,831.26 ",-781.17 ,"-2,151.89 ", -   , -   , -   ,-115.03 , -   ," 31,677.22 ",,
3231 Otro resultado integral del presente ejercicio, -   , -   , -   , -   , -   , -   , -   , 419.55 , -   , -   , -   , -   , -   , 419.55 ,,
,,,,,,,,,,,,,,,,
Total Patrimonio," 627,821.80 "," 456,395.59 "," 366,550.11 "," 207,821.78 "," 41,219.89 "," 69,393.85 "," 117,586.88 "," 358,269.07 "," 33,791.92 "," 101,020.24 "," 100,928.54 "," 38,768.00 "," 129,435.26 "," 2,649,002.92 ",,
,,,,,,,,,,,,,,,,
Total pasivo + total patrimonio," 5,891,064.32 "," 4,113,008.89 "," 3,289,295.87 "," 2,255,726.42 "," 223,937.18 "," 486,315.67 "," 1,393,170.14 "," 3,573,916.59 "," 187,333.07 "," 732,858.92 "," 882,537.87 "," 260,671.44 "," 1,296,129.46 "," 24,585,965.84 ",,
,,,,,,,,,,,,,,,,
5110 Obligaciones por cartas de crédito," 16,980.98 "," 10,054.38 "," 5,479.77 ", 258.99 , -   , -   , 60.25 ," 62,877.96 ", -   ," 1,256.33 "," 6,068.69 ", -   , -   ," 103,037.36 ",,
5120 Contingencias por avales y fianzas," 85,307.72 "," 66,564.17 "," 135,324.24 "," 17,107.54 "," 3,966.09 "," 5,732.38 "," 7,046.05 "," 60,322.18 ", -   ," 17,687.11 "," 1,759.56 ", -   ," 8,913.68 "," 409,730.73 ",,
5130 Operaciones con instrumentos financieros derivados," 9,281.42 ", 111.57 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 9,392.99 ",,
5140 Procesos judiciales abiertos contra la entidad, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
5180 Otras, -   , -   , -   , -   ," 2,002.40 ", -   , -   , -   , -   , -   , -   , -   , -   ," 2,002.40 ",,
,,,,,,,,,,,,,,,,
Total de compromisos y contingencias," 111,570.13 "," 76,730.13 "," 140,804.01 "," 17,366.54 "," 5,968.49 "," 5,732.38 "," 7,106.30 "," 123,200.15 ", -   ," 18,943.44 "," 7,828.25 ", -   ," 8,913.68 "," 524,163.49 ",,
,,,,,,,,,,,,,,,,
Total pasivo + patrimonio + compromisos futuros y contingencias," 6,002,634.44 "," 4,189,739.01 "," 3,430,099.89 "," 2,273,092.96 "," 229,905.67 "," 492,048.05 "," 1,400,276.44 "," 3,697,116.73 "," 187,333.07 "," 751,802.36 "," 890,366.12 "," 260,671.44 "," 1,305,043.14 "," 25,110,129.32 ",,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
