Superintendencia del Sistema Financiero,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,
Datos al 30 de Septiembre de 2023,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,
,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,
5110 Obligaciones por cartas de crédito,"10,727.57","28,718.10","11,464.24",960.74,0.00,0.00,404.89,"54,196.61",0.00,"1,170.24","2,658.42",0.00,"110,300.82"
5120 Contingencias por avales y fianzas,"85,015.48","77,820.08","131,114.12","24,314.37","5,454.08","5,714.13","6,425.51","70,990.98",0.00,"19,286.38","1,935.10","8,287.87","436,358.09"
5131 Compromisos por operaciones en moneda extranjera,"8,434.21",0.00,0.00,0.00,"1,368.34",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"9,802.55"
 ,,,,,,,,,,,,,
Total compromisos futuros y contingencias,"104,177.26","106,538.18","142,578.36","25,275.11","6,822.42","5,714.13","6,830.40","125,187.59",0.00,"20,456.62","4,593.52","8,287.87","556,461.46"
 ,,,,,,,,,,,,,
Total pasivo + patrimonio + comp. futuros y contingencias,"5,843,731.25","4,099,778.59","3,231,456.27","2,248,727.71","192,846.55","471,222.82","1,383,226.77","3,357,973.97","167,368.16","660,728.81","864,860.77","1,202,093.14","23,724,014.81"
 ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
