Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,
Datos al 31 de diciembre de 2025 *,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Apoyo Integral, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,
,,,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,,,
2120 Títulos de emisión propia,"42,067.592","126,354.618","132,882.820","398,475.548",0.000,0.000,"41,997.607","119,028.523","8,525.993","33,381.497","12,388.062","4,515.288","101,138.747","1,020,756.294",
213 Obligaciones a la vista,"16,941.012","16,626.501","12,172.851","31,305.416","1,192.918",64.484,"5,788.784","22,833.784",290.598,"3,889.267","3,026.284","1,776.553","1,393.674","117,302.126",
2130 Obligaciones a la vista,"16,941.012","16,626.501","12,172.851","31,305.416","1,192.918",64.484,"5,788.784","22,833.784",290.598,"3,889.267","3,026.284","1,776.553","1,393.674","117,302.126",
22 Otros pasivos,"136,636.445","90,095.740","46,889.476","10,374.344","5,623.375","32,245.468","24,528.505","42,641.292","3,339.217","10,681.433","7,448.642","5,679.808","7,651.238","423,834.984",
221 Saldos entre compañias,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2210 Saldos entre compañias,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
222 Cuentas por pagar,"73,201.129","47,832.089","18,322.263","5,327.219","2,591.733","24,206.899","15,972.106","13,280.279","1,667.645","7,823.114","5,227.930","4,481.728","2,030.257","221,964.391",
2220 Cuentas por pagar,"42,419.204","31,153.215","17,367.173","5,327.219","1,290.770","20,764.917","10,893.081","11,715.047","1,202.813","6,015.820","3,805.269","2,027.506","1,935.367","155,917.399",
2221 Impuestos,"30,781.925","16,678.875",955.091,0.000,"1,300.963","3,441.982","5,079.025","1,565.232",464.832,"1,807.294","1,422.661","2,454.223",94.890,"66,046.991",
223 Retenciones y aportaciones patronales,"4,118.474","4,550.794","3,067.462",614.597,249.748,205.174,"2,027.889","2,396.664",194.111,521.893,488.811,139.631,869.108,"19,444.355",
2230 Retenciones y aportaciones patronales,"4,118.474","4,550.794","3,067.462",614.597,249.748,205.174,"2,027.889","2,396.664",194.111,521.893,488.811,139.631,869.108,"19,444.355",
224 Otros pasivos,"45,730.252","12,672.708","12,011.782","3,444.354","2,741.592","2,893.414","4,964.652","13,966.300",700.463,864.893,418.921,866.416,"4,751.872","106,027.621",
2240 Provisiones,"45,730.252","12,672.708","12,011.782","3,444.354","2,741.592","2,893.414","4,964.652","13,966.300",700.463,864.893,418.921,866.416,"4,751.872","106,027.621",
2241 Pasivos asociados a activos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2242 Opciones de pago basadas en el valor de las acciones,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
225 Pasivos diferidos,"13,586.590","25,040.148","13,487.969",988.174,40.303,"4,939.982","1,563.858","12,998.049",776.997,"1,471.534","1,312.980",192.032,0.000,"76,398.617",
2250 Pasivos diferidos,"13,586.590","25,040.148","13,487.969",988.174,40.303,"4,939.982","1,563.858","12,998.049",776.997,"1,471.534","1,312.980",192.032,0.000,"76,398.617",
Total Pasivos,"6,238,720.947","4,311,673.966","3,341,330.190","2,136,880.424","190,898.349","475,586.169","1,440,904.402","3,612,987.450","219,050.034","936,379.051","912,284.323","274,029.568","1,383,625.432","25,474,350.306",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
31 Patrimonio,"605,946.282","441,815.222","361,289.970","194,933.412","36,611.525","64,839.445","108,286.944","369,846.401","34,740.327","106,610.125","95,355.281","38,059.145","131,913.736","2,590,247.817",
311 Capital social,"297,500.000","204,701.840","150,000.000","145,387.686","22,000.000","40,529.304","75,788.870","161,000.436","23,643.700","70,000.000","80,000.000","22,000.000","123,703.500","1,416,255.336",
3110 Capital social suscrito,"297,500.000","204,701.840","150,000.000","145,387.686","22,000.000","40,529.304","75,788.870","161,000.436","23,643.700","70,000.000","80,000.000","22,000.000","123,703.500","1,416,255.336",
3111 Capital social variable,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
3120 Aportes de capital pendientes de formalizar,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
3130 Reservas de capital,"159,461.500","90,187.817","172,149.306","24,621.785","5,500.000","7,258.903","18,947.217","40,250.109","4,838.819","5,367.861","7,178.338","5,046.995","3,931.580","544,740.232",
3140 Resultados por aplicar,"148,984.781","146,925.565","39,140.664","24,923.941","9,111.525","17,051.238","13,550.857","168,595.856","6,257.808","31,242.264","8,176.943","11,012.150","4,278.656","629,252.248",
3150 Primas sobre acciones,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
32 Patrimonio restringido,"74,829.655","57,819.858","28,357.167","44,295.170","3,536.662","13,480.102","13,244.040","32,283.934","2,706.043","4,897.916","12,107.929","4,205.801","14,221.785","305,986.062",
3210 Utilidades no distribuibles,"74,008.319","44,502.405","24,293.477","40,038.543","3,499.885","2,648.841","14,432.783","33,858.306","2,663.697","5,050.275","12,332.239","4,468.100","14,189.088","275,985.959",
3220 Donaciones,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,32.697,32.697,
323 Otro resultado integral,821.336,"13,317.453","4,063.690","4,256.626",36.777,"10,831.261","-1,188.743","-1,574.372",42.345,-152.359,-224.310,-262.299,0.000,"29,967.407",
3230 Otro resultado integral de ejercicios anteriores,821.336,"13,587.240","4,063.690","4,555.283",36.777,"10,831.261","-1,188.743","-1,764.174",42.345,-119.455,-224.310,-262.299,0.000,"30,378.952",
3231 Otro resultado integral del presente ejercicio,0.000,-269.787,0.000,-298.656,0.000,0.000,0.000,189.802,0.000,-32.904,0.000,0.000,0.000,-411.546,
,,,,,,,,,,,,,,,
Total Patrimonio,"680,775.937","499,635.080","389,647.137","239,228.582","40,148.187","78,319.548","121,530.984","402,130.336","37,446.370","111,508.042","107,463.210","42,264.946","146,135.521","2,896,233.879",
,,,,,,,,,,,,,,,
Total pasivo + total patrimonio,"6,919,496.884","4,811,309.046","3,730,977.327","2,376,109.006","231,046.535","553,905.717","1,562,435.386","4,015,117.786","256,496.404","1,047,887.093","1,019,747.534","316,294.514","1,529,760.953","28,370,584.185",
,,,,,,,,,,,,,,,
5110 Obligaciones por cartas de crédito,"11,173.842","14,163.135","13,862.228",449.920,0.000,0.000,0.000,"96,773.869",0.000,879.653,"4,217.636",0.000,0.000,"141,520.283",
5120 Contingencias por avales y fianzas,"71,391.663","78,390.124","102,405.591","12,429.681","3,516.572","5,732.376","7,852.187","57,269.521",0.000,"14,976.104","3,936.375",0.000,"9,303.354","367,203.548",
5130 Operaciones con instrumentos financieros derivados,"4,317.179",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,"4,317.179",
5140 Procesos judiciales abiertos contra la entidad,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
5180 Otras,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
