Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,
Datos al 30 de junio de 2024,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agricola, S.A.","Banco Cuscatlan de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,,
2240 Provisiones,"30,707.3","10,362.8","8,475.2","3,208.4","2,103.3","2,593.9","4,021.2","13,672.9",227.3,462.7,459.5,"3,110.0","79,404.4",,
2241 Pasivos asociados a activos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2242 Opciones de pago basadas en el valor de las acciones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
225 Pasivos diferidos,"9,297.0","29,615.4","14,060.9","1,318.6",40.4,"5,147.2","2,316.7","10,786.6",563.0,"1,037.6","1,378.5",29.2,"75,591.2",,
2250 Pasivos diferidos,"9,297.0","29,615.4","14,060.9","1,318.6",40.4,"5,147.2","2,316.7","10,786.6",563.0,"1,037.6","1,378.5",29.2,"75,591.2",,
Total Pasivos,"5,343,432.1","3,649,872.0","2,800,658.9","2,038,515.6","186,913.2","407,594.9","1,274,651.3","3,072,701.0","154,873.6","640,257.5","796,552.7","1,151,781.7","21,517,804.6",,
,,,,,,,,,,,,,,,
Patrimonio,,,,,,,,,,,,,,,
31 Patrimonio,"538,134.1","387,029.1","331,016.1","159,443.1","35,165.9","53,849.1","99,935.6","323,897.2","30,226.0","73,808.7","88,320.5","108,805.1","2,229,630.6",,
311 Capital social,"297,500.0","204,701.8","150,000.0","121,403.2","22,000.0","28,311.7","70,788.9","161,000.4","20,643.7","50,000.0","80,000.0","90,000.0","1,296,349.7",,
3110 Capital social suscrito,"297,500.0","204,701.8","150,000.0","121,403.2","22,000.0","28,311.7","70,788.9","161,000.4","20,643.7","50,000.0","80,000.0","90,000.0","1,296,349.7",,
3111 Capital social variable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
3120 Aportes de capital pendientes de formalizar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
3130 Reservas de capital,"166,896.6","90,187.8","162,149.3","28,159.4","4,719.5","5,084.3","17,697.2","40,250.1","3,942.1","3,414.2","5,115.5","2,932.6","530,548.6",,
3140 Resultados por aplicar,"73,737.5","92,139.4","18,866.8","9,880.5","8,446.4","20,453.1","11,449.5","122,646.6","5,640.2","20,394.5","3,205.0","15,872.5","402,732.3",,
3150 Primas sobre acciones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
32 Patrimonio restringido,"58,486.2","56,858.2","31,156.5","39,358.0","6,640.2","14,720.0","15,864.6","28,305.9","3,187.6","5,382.0","8,993.1","10,517.9","279,470.2",,
3210 Utilidades no distribuibles,"57,223.0","43,387.7","27,036.6","34,395.7","6,574.2","3,888.8","16,645.7","30,226.3","3,187.6","5,382.0","8,993.1","10,485.2","247,425.9",,
3220 Donaciones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.7,32.7,,
323 Otro resultado integral,"1,263.2","13,470.5","4,119.8","4,962.3",66.0,"10,831.3",-781.2,"-1,920.4",0.0,0.0,0.0,0.0,"32,011.5",,
3230 Otro resultado integral de ejercicios anteriores,"1,263.2","13,470.5","4,119.8","4,962.3",66.0,"10,831.3",-781.2,"-2,151.5",0.0,0.0,0.0,0.0,"31,780.5",,
3231 Otro resultado integral del presente ejercicio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.1,0.0,0.0,0.0,0.0,231.1,,
,,,,,,,,,,,,,,,
Total Patrimonio,"596,620.3","443,887.3","362,172.6","198,801.1","41,806.1","68,569.1","115,800.2","352,203.1","33,413.6","79,190.7","97,313.6","119,323.0","2,509,100.8",,
,,,,,,,,,,,,,,,
Total pasivo + total patrimonio,"5,940,052.4","4,093,759.3","3,162,831.5","2,237,316.7","228,719.4","476,164.0","1,390,451.5","3,424,904.1","188,287.3","719,448.3","893,866.3","1,271,104.6","24,026,905.4",,
,,,,,,,,,,,,,,,
5110 Obligaciones por cartas de crédito,"24,736.3","12,849.4","10,199.3","1,688.1",0.0,0.0,334.2,"53,333.9",0.0,"1,237.2","6,203.8",0.0,"110,582.4",,
5120 Contingencias por avales y fianzas,"80,105.5","63,759.8","130,253.8","18,910.9","4,715.7","5,732.4","6,603.2","57,927.2",0.0,"20,169.6","1,681.5","9,272.0","399,131.6",,
5130 Operaciones con instrumentos financieros derivados,"12,996.2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"12,996.2",,
5140 Procesos judiciales abiertos contra la entidad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
5180 Otras,0.0,0.0,0.0,0.0,32.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.4,,
,,,,,,,,,,,,,,,
Total de compromisos y contingencias,"117,838.1","76,609.3","140,453.1","20,599.0","4,748.1","5,732.4","6,937.5","111,261.2",0.0,"21,406.7","7,885.4","9,272.0","522,742.6",,
,,,,,,,,,,,,,,,
Total pasivo + patrimonio + compromisos futuros y contingencias,"6,057,890.4","4,170,368.6","3,303,284.6","2,257,915.7","233,467.4","481,896.4","1,397,389.0","3,536,165.3","188,287.3","740,855.0","901,751.7","1,280,376.7","24,549,648.1",,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
