Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,
Datos al  31 de julio de 2025,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Apoyo Integral, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,
,,,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,,,
223 Retenciones y aportaciones patronales," 2,936.11 "," 4,017.06 "," 1,982.47 ", 592.49 , 164.53 , 196.03 ," 1,775.70 "," 2,295.43 ", 344.81 , 405.24 , 429.13 , 132.01 , 844.25 ," 16,115.25 ",
2230 Retenciones y aportaciones patronales," 2,936.11 "," 4,017.06 "," 1,982.47 ", 592.49 , 164.53 , 196.03 ," 1,775.70 "," 2,295.43 ", 344.81 , 405.24 , 429.13 , 132.01 , 844.25 ," 16,115.25 ",
224 Otros pasivos," 37,140.50 "," 11,666.36 "," 11,031.91 "," 3,100.77 "," 2,307.52 "," 2,937.98 "," 4,791.75 "," 15,811.05 ", 832.71 , 794.21 , 722.56 ," 1,119.73 "," 3,237.38 "," 95,494.43 ",
2240 Provisiones," 37,140.50 "," 11,666.36 "," 11,031.91 "," 3,100.77 "," 2,307.52 "," 2,937.98 "," 4,791.75 "," 15,811.05 ", 832.71 , 794.21 , 722.56 ," 1,119.73 "," 3,237.38 "," 95,494.43 ",
2241 Pasivos asociados a activos, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
2242 Opciones de pago basadas en el valor de las acciones, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
225 Pasivos diferidos," 11,593.74 "," 25,321.60 "," 15,483.40 "," 1,067.20 ", 61.72 ," 5,151.40 "," 2,036.31 "," 14,550.19 ", 692.42 ," 1,675.86 "," 1,196.26 ", 205.85 , -   ," 79,035.95 ",
2250 Pasivos diferidos," 11,593.74 "," 25,321.60 "," 15,483.40 "," 1,067.20 ", 61.72 ," 5,151.40 "," 2,036.31 "," 14,550.19 ", 692.42 ," 1,675.86 "," 1,196.26 ", 205.85 , -   ," 79,035.95 ",
Total Pasivos," 5,784,011.55 "," 4,089,480.70 "," 3,089,177.40 "," 2,189,531.11 "," 168,823.94 "," 458,057.35 "," 1,367,563.97 "," 3,475,257.70 "," 192,362.04 "," 819,873.51 "," 857,143.87 "," 252,640.78 "," 1,256,068.33 "," 23,999,992.23 ",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
31 Patrimonio," 542,143.86 "," 417,938.65 "," 343,841.44 "," 181,545.39 "," 43,217.94 "," 61,540.81 "," 102,162.16 "," 356,471.71 "," 31,696.53 "," 103,109.03 "," 92,681.14 "," 35,934.44 "," 122,062.55 "," 2,434,345.65 ",
