Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,,
Datos al 31 de diciembre de 2024,,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Apoyo Integral, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,,
,,,,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,,,,
221 Saldos entre compañias, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
2210 Saldos entre compañias, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
222 Cuentas por pagar," 58,207.48 "," 45,607.29 "," 15,229.56 "," 5,680.35 "," 3,563.94 "," 22,675.68 "," 13,425.86 "," 11,151.95 "," 1,001.53 "," 13,641.05 "," 3,806.34 "," 4,935.47 "," 7,588.86 "," 206,515.35 ",,
2220 Cuentas por pagar," 31,337.07 "," 32,963.89 "," 14,263.51 "," 5,680.35 "," 1,328.09 "," 19,707.18 "," 10,624.46 "," 10,162.27 ", 965.83 ," 11,934.70 "," 2,999.40 "," 2,214.46 "," 7,217.59 "," 151,398.80 ",,
2221 Impuestos," 26,870.40 "," 12,643.40 ", 966.05 , -   ," 2,235.85 "," 2,968.51 "," 2,801.40 ", 989.68 , 35.69 ," 1,706.36 ", 806.93 ," 2,721.01 ", 371.27 ," 55,116.56 ",,
223 Retenciones y aportaciones patronales," 3,921.13 "," 4,220.55 "," 2,953.24 ", 657.24 , 273.41 , 264.45 ," 1,790.85 "," 2,749.52 ", 133.21 , 415.36 , 475.53 , 118.20 , 888.41 ," 18,861.10 ",,
2230 Retenciones y aportaciones patronales," 3,921.13 "," 4,220.55 "," 2,953.24 ", 657.24 , 273.41 , 264.45 ," 1,790.85 "," 2,749.52 ", 133.21 , 415.36 , 475.53 , 118.20 , 888.41 ," 18,861.10 ",,
224 Otros pasivos," 39,077.18 "," 10,919.00 "," 11,431.57 "," 3,726.89 "," 2,398.33 "," 2,622.69 "," 4,713.63 "," 12,655.96 ", 525.82 , 595.73 , 195.53 , 591.33 ," 2,866.95 "," 92,320.62 ",,
2240 Provisiones," 39,077.18 "," 10,919.00 "," 11,431.57 "," 3,726.89 "," 2,398.33 "," 2,622.69 "," 4,713.63 "," 12,655.96 ", 525.82 , 595.73 , 195.53 , 591.33 ," 2,866.95 "," 92,320.62 ",,
2241 Pasivos asociados a activos, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
2242 Opciones de pago basadas en el valor de las acciones, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
225 Pasivos diferidos," 10,537.16 "," 24,680.06 "," 15,059.50 "," 1,187.25 ", 43.43 ," 4,849.66 "," 2,243.36 "," 12,576.23 ", 583.97 ," 1,066.25 "," 1,134.29 ", 212.09 , -   ," 74,173.25 ",,
2250 Pasivos diferidos," 10,537.16 "," 24,680.06 "," 15,059.50 "," 1,187.25 ", 43.43 ," 4,849.66 "," 2,243.36 "," 12,576.23 ", 583.97 ," 1,066.25 "," 1,134.29 ", 212.09 , -   ," 74,173.25 ",,
Total Pasivos," 5,415,628.12 "," 3,761,276.56 "," 2,987,156.74 "," 2,066,783.75 "," 195,848.83 "," 422,465.20 "," 1,339,697.68 "," 3,337,060.65 "," 169,465.46 "," 666,873.72 "," 787,176.86 "," 229,665.07 "," 1,177,422.84 "," 22,556,521.48 ",,
,,,,,,,,,,,,,,,,
Patrimonio,,,,,,,,,,,,,,,,
31 Patrimonio," 592,954.22 "," 414,667.69 "," 341,523.90 "," 170,305.89 "," 39,116.17 "," 57,317.08 "," 104,720.91 "," 331,319.09 "," 32,621.67 "," 98,561.35 "," 91,615.00 "," 35,603.96 "," 117,261.62 "," 2,427,588.55 ",,
311 Capital social," 297,500.00 "," 204,701.84 "," 150,000.00 "," 121,403.22 "," 22,000.00 "," 28,311.68 "," 75,788.87 "," 161,000.44 "," 23,643.70 "," 70,000.00 "," 80,000.00 "," 22,000.00 "," 113,703.50 "," 1,370,053.25 ",,
3110 Capital social suscrito," 297,500.00 "," 204,701.84 "," 150,000.00 "," 121,403.22 "," 22,000.00 "," 28,311.68 "," 75,788.87 "," 161,000.44 "," 23,643.70 "," 70,000.00 "," 80,000.00 "," 22,000.00 "," 113,703.50 "," 1,370,053.25 ",,
3111 Capital social variable, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
3120 Aportes de capital pendientes de formalizar, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
3130 Reservas de capital," 166,896.59 "," 90,187.82 "," 162,149.31 "," 30,351.51 "," 5,500.00 "," 6,145.76 "," 18,611.65 "," 40,250.11 "," 4,246.91 "," 4,326.83 "," 6,052.35 "," 4,300.12 "," 3,334.76 "," 542,353.71 ",,
3140 Resultados por aplicar," 128,557.63 "," 119,778.03 "," 29,374.59 "," 18,551.16 "," 11,616.17 "," 22,859.63 "," 10,320.39 "," 130,068.54 "," 4,731.05 "," 24,234.52 "," 5,562.65 "," 9,303.84 ", 223.36 ," 515,181.59 ",,
3150 Primas sobre acciones, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
