Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,
Datos al 31 de julio de 2024,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agricola, S.A.","Banco Cuscatlan de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones,,
222 Cuentas por pagar,"94,696.7","35,089.6","25,254.5","6,157.7","2,494.1","20,725.7","12,510.7","29,639.3","3,393.4","36,984.8","4,988.4","12,471.6","284,406.5",,
2220 Cuentas por pagar,"74,479.7","25,677.5","21,609.0","6,157.7",918.3,"18,919.4","10,021.0","25,551.5","3,307.8","35,792.8","4,623.1","12,197.8","239,255.5",,
2221 Impuestos,"20,217.0","9,412.0","3,645.5",0.0,"1,575.8","1,806.4","2,489.7","4,087.8",85.6,"1,192.1",365.3,273.8,"45,150.9",,
223 Retenciones y aportaciones patronales,"4,208.2","3,806.7","1,904.8",544.2,287.3,219.3,"1,737.8","1,996.8",251.3,323.3,533.3,633.3,"16,446.1",,
2230 Retenciones y aportaciones patronales,"4,208.2","3,806.7","1,904.8",544.2,287.3,219.3,"1,737.8","1,996.8",251.3,323.3,533.3,633.3,"16,446.1",,
224 Otros pasivos,"32,546.8","11,104.3","8,863.1","3,452.0","2,141.2","2,727.6","4,276.5","14,884.3",334.5,508.4,501.2,"3,557.5","84,897.4",,
2240 Provisiones,"32,546.8","11,104.3","8,863.1","3,452.0","2,141.2","2,727.6","4,276.5","14,884.3",334.5,508.4,501.2,"3,557.5","84,897.4",,
2241 Pasivos asociados a activos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2242 Opciones de pago basadas en el valor de las acciones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
225 Pasivos diferidos,"9,491.4","29,420.5","13,566.7","1,351.6",35.4,"5,331.9","2,423.6","11,130.0",560.7,"1,048.2","1,402.2",28.9,"75,791.0",,
2250 Pasivos diferidos,"9,491.4","29,420.5","13,566.7","1,351.6",35.4,"5,331.9","2,423.6","11,130.0",560.7,"1,048.2","1,402.2",28.9,"75,791.0",,
Total Pasivos,"5,293,116.8","3,692,303.6","2,816,900.3","2,021,818.2","182,076.8","413,149.7","1,297,983.5","3,145,003.5","157,746.7","651,301.4","787,649.1","1,159,910.6","21,618,960.1",,
,,,,,,,,,,,,,,,
Patrimonio,,,,,,,,,,,,,,,
31 Patrimonio,"549,494.8","391,585.2","332,950.7","161,591.8","36,643.7","54,318.0","99,614.4","325,779.3","30,427.8","75,471.4","88,744.8","109,084.9","2,255,706.8",,
311 Capital social,"297,500.0","204,701.8","150,000.0","121,403.2","22,000.0","28,311.7","70,788.9","161,000.4","23,643.7","50,000.0","80,000.0","90,000.0","1,299,349.7",,
3110 Capital social suscrito,"297,500.0","204,701.8","150,000.0","121,403.2","22,000.0","28,311.7","70,788.9","161,000.4","23,643.7","50,000.0","80,000.0","90,000.0","1,299,349.7",,
3111 Capital social variable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
3120 Aportes de capital pendientes de formalizar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
3130 Reservas de capital,"166,896.6","90,187.8","162,149.3","28,159.4","4,719.5","5,084.3","17,697.2","40,250.1","3,942.1","3,414.2","5,115.5","2,932.6","530,548.6",,
3140 Resultados por aplicar,"85,098.2","96,695.6","20,801.4","12,029.2","9,924.2","20,922.0","11,128.3","124,528.8","2,841.9","22,057.2","3,629.4","16,152.3","425,808.5",,
3150 Primas sobre acciones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
32 Patrimonio restringido,"57,633.5","56,845.9","30,941.6","40,257.0","6,640.2","14,508.1","16,815.1","28,202.1","3,187.6","4,341.5","9,024.6","10,220.3","278,617.5",,
3210 Utilidades no distribuibles,"56,370.3","43,375.1","26,821.4","35,294.7","6,574.2","3,676.9","17,596.3","30,084.5","3,187.6","4,341.5","9,024.6","10,187.6","246,534.8",,
3220 Donaciones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.7,32.7,,
323 Otro resultado integral,"1,263.2","13,470.7","4,120.1","4,962.3",66.0,"10,831.3",-781.2,"-1,882.4",0.0,0.0,0.0,0.0,"32,050.0",,
3230 Otro resultado integral de ejercicios anteriores,"1,263.2","13,470.7","4,120.1","4,962.3",66.0,"10,831.3",-781.2,"-2,151.9",0.0,0.0,0.0,0.0,"31,780.5",,
3231 Otro resultado integral del presente ejercicio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.5,0.0,0.0,0.0,0.0,269.5,,
,,,,,,,,,,,,,,,
Total Patrimonio,"607,128.3","448,431.1","363,892.3","201,848.8","43,283.9","68,826.1","116,429.5","353,981.5","33,615.4","79,812.9","97,769.4","119,305.1","2,534,324.3",,
,,,,,,,,,,,,,,,
