Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,,,
Datos al 31 de Octubre de 2020,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco Cuscatlán Sv, S.A.  1/","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,,,
216 Cheques y otros valores por aplicar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.33,0.00,0.00,0.00,30.33
2160 Cheques y otros valores por aplicar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.33,0.00,0.00,0.00,30.33
22 Otros pasivos,"84,764.93","44,914.09","57,509.71","12,994.05","3,230.59","30,082.82","3,952.20","23,367.03","25,928.06","35,689.65","4,153.91","19,677.79","2,077.05","4,070.78","352,412.67"
2210 Saldos entre compañias,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2220 Cuentas por pagar,"49,284.14","34,205.13","37,451.10","6,838.25",977.34,"20,976.47","3,186.91","13,877.65","11,309.42","20,930.78","3,016.56","17,862.42","1,263.36","1,579.48","222,759.02"
2230 Retenciones,"1,874.40",938.65,"1,147.76",425.89,125.74,198.80,228.47,981.28,"1,070.89",800.33,295.27,147.13,301.02,319.20,"8,854.82"
2240 Provisiones,"22,475.37","6,783.45","7,790.76","4,513.87","1,968.83","3,863.62",449.78,"3,693.23","11,711.76","8,304.19",842.08,404.38,357.41,"2,101.95","75,260.69"
224003 Otras provisiones,"7,215.81",21.43,"1,994.76",627.72,79.10,28.54,0.00,"1,767.19","4,782.12","2,950.94",72.57,51.06,0.00,813.48,"20,404.72"
2250 Créditos diferidos,"11,131.02","2,986.86","11,120.10","1,216.05",158.68,"5,043.93",87.05,"4,814.86","1,835.98","5,654.36",0.00,"1,263.85",155.26,70.15,"45,538.14"
23 Obligaciones convertibles en acciones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2311 Préstamos convertibles en acciones pactados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2321 Bonos convertibles en acciones pactados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2322 Bonos convertibles en acciones pactados a mas de un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24 deuda subordinada,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"30,411.22",0.00,0.00,0.00,0.00,0.00,0.00,"30,411.22"
241 deuda subordinada a plazo fijo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"30,411.22",0.00,0.00,0.00,0.00,0.00,0.00,"30,411.22"
2413 deuda subordinada a cinco o mas años,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"30,411.22",0.00,0.00,0.00,0.00,0.00,0.00,"30,411.22"
Total pasivos,"4,581,503.17","1,560,576.79","2,596,905.91","1,171,565.82","268,016.89","365,575.58","383,236.56","1,186,107.02","1,647,037.35","2,486,879.70","55,366.38","371,447.67","466,288.77","651,769.66","17,792,277.29"
 ,,,,,,,,,,,,,,,
Patrimonio ,,,,,,,,,,,,,,,
31 Patrimonio,"496,540.18","175,318.84","266,276.28","107,016.18","40,384.02","34,033.31","56,511.19","105,984.05","201,462.97","263,951.01","25,514.24","35,618.97","54,053.76","63,930.20","1,926,595.22"
3110 Capital social pagado,"297,500.00","103,570.64","150,000.00","45,029.45","30,000.00","19,057.46","51,598.94","70,788.87","101,131.20","161,000.44","20,333.67","30,000.00","80,000.00","65,000.00","1,225,010.68"
3130 Reservas de capital,"141,273.03","41,942.66","102,621.29","57,722.21","3,377.98","2,410.06","3,560.18","14,307.66","48,245.16","38,452.17","2,883.35",924.90,7.46,848.19,"458,576.30"
3140 Resultados por aplicar,"57,767.15","29,805.54","13,654.99","4,264.52","7,006.05","12,565.79","1,352.07","20,887.53","52,086.61","64,498.41","2,297.22","4,694.07","-25,953.70","-1,917.99","243,008.24"
314001 Resultados de ejercicios anteriores,"-1,863.82","17,731.13","1,429.35",25.00,"4,816.18","10,741.50",73.02,"17,150.67","42,449.57","43,259.33",607.60,"2,992.90","-26,663.20","-2,765.14","109,984.08"
314002 Resultados del presente ejercicio,"59,630.98","12,074.41","12,225.64","4,239.52","2,189.86","1,824.29","1,279.04","3,736.85","9,637.04","21,239.07","1,689.62","1,701.17",709.51,847.15,"133,024.16"
32 Patrimonio restringido,"85,580.67","27,493.90","38,720.81","27,093.20","4,399.19","13,897.32","2,867.84","14,967.59","30,064.50","26,269.00",742.88,"2,451.04",15.70,"10,023.51","284,587.15"
3210 Utilidades no distribuibles,"28,671.26","18,369.93","19,091.41","13,723.62","4,367.81",0.00,"1,311.79","8,733.50","20,090.48","18,590.82",742.22,"2,356.76",0.00,"4,666.40","140,716.00"
3220 Revaluaciones,"9,860.23","8,817.28","4,345.09","4,962.30",0.00,"10,141.92",0.00,0.00,"5,341.68",0.00,0.00,0.00,0.00,0.00,"43,468.50"
3230 Recuperaciones de activos castigados,0.00,6.66,"1,165.35","2,424.21",0.00,0.00,56.41,87.21,128.46,"1,091.49",0.00,0.00,0.00,41.74,"5,001.53"
3240 Donaciones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.70,32.70
3250 Provisiones,"47,049.18",300.04,"14,118.96","5,983.07",31.38,"3,755.40","1,499.63","6,146.88","4,503.88","6,586.70",0.65,94.28,15.70,"5,282.67","95,368.42"
Total patrimonio,"582,120.86","202,812.74","304,997.09","134,109.38","44,783.21","47,930.63","59,379.02","120,951.65","231,527.47","290,220.02","26,257.11","38,070.01","54,069.47","73,953.72","2,211,182.37"
 ,,,,,,,,,,,,,,,
Total pasivo + patrimonio,"5,163,624.03","1,763,389.53","2,901,903.00","1,305,675.20","312,800.10","413,506.21","442,615.58","1,307,058.67","1,878,564.82","2,777,099.71","81,623.50","409,517.69","520,358.24","725,723.38","20,003,459.66"
 ,,,,,,,,,,,,,,,
5110 Obligaciones por cartas de crédito,"17,906.11","10,785.28","7,914.90",36.28,2.50,0.00,"6,768.97",0.00,"1,825.01","17,307.75",0.00,185.93,0.00,0.00,"62,732.73"
5120 Contingencias por avales y fianzas,"114,865.78","40,789.33","78,295.38","15,488.03","10,043.35","6,380.00","4,405.76","10,298.13","99,013.73","71,814.06",0.00,"17,621.88",0.00,"3,073.67","472,089.11"
