Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,,
Datos al 31 de agosto de 2024,,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Apoyo Integral, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,,
,,,,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,,,,
212 Títulos de emisión propia," 166,737.64 "," 163,477.01 "," 216,438.57 "," 347,143.31 ", -   , -   ," 43,568.72 "," 155,623.12 "," 8,651.31 "," 56,850.15 "," 24,756.52 "," 7,548.72 "," 186,538.32 "," 1,377,333.38 ",,
2120 Títulos de emisión propia," 166,737.64 "," 163,477.01 "," 216,438.57 "," 347,143.31 ", -   , -   ," 43,568.72 "," 155,623.12 "," 8,651.31 "," 56,850.15 "," 24,756.52 "," 7,548.72 "," 186,538.32 "," 1,377,333.38 ",,
213 Obligaciones a la vista," 18,726.35 "," 21,983.92 "," 19,830.79 "," 29,400.23 "," 1,912.90 ", 80.36 ," 7,542.67 "," 21,484.29 ", 278.30 ," 2,684.00 "," 5,133.67 ", 980.26 ," 1,725.74 "," 131,763.48 ",,
2130 Obligaciones a la vista," 18,726.35 "," 21,983.92 "," 19,830.79 "," 29,400.23 "," 1,912.90 ", 80.36 ," 7,542.67 "," 21,484.29 ", 278.30 ," 2,684.00 "," 5,133.67 ", 980.26 ," 1,725.74 "," 131,763.48 ",,
22 Otros pasivos," 153,127.79 "," 81,603.39 "," 49,014.47 "," 10,393.68 "," 5,099.88 "," 29,440.47 "," 20,937.67 "," 61,037.36 "," 5,805.08 "," 18,360.65 "," 6,889.08 "," 5,569.91 "," 9,906.61 "," 457,186.04 ",,
221 Saldos entre compañias, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
2210 Saldos entre compañias, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
222 Cuentas por pagar," 106,016.28 "," 36,512.27 "," 24,343.39 "," 5,059.66 "," 2,550.78 "," 20,975.97 "," 12,475.54 "," 30,847.83 "," 4,639.63 "," 16,469.45 "," 4,408.47 "," 4,323.63 "," 5,566.27 "," 274,189.16 ",,
2220 Cuentas por pagar," 83,769.02 "," 26,501.14 "," 20,268.68 "," 5,059.66 ", 956.12 ," 18,854.70 "," 9,944.00 "," 27,120.93 "," 4,554.02 "," 15,160.94 "," 4,043.19 "," 2,133.55 "," 5,294.23 "," 223,660.17 ",,
2221 Impuestos," 22,247.26 "," 10,011.13 "," 4,074.71 ", -   ," 1,594.65 "," 2,121.27 "," 2,531.55 "," 3,726.91 ", 85.61 ," 1,308.51 ", 365.29 ," 2,190.08 ", 272.03 ," 50,529.00 ",,
223 Retenciones y aportaciones patronales," 2,427.69 "," 4,011.53 "," 1,762.29 ", 531.69 , 297.52 , 209.38 ," 1,628.03 "," 1,993.59 ", 251.46 , 297.56 , 533.45 , 119.38 , 741.26 ," 14,804.83 ",,
2230 Retenciones y aportaciones patronales," 2,427.69 "," 4,011.53 "," 1,762.29 ", 531.69 , 297.52 , 209.38 ," 1,628.03 "," 1,993.59 ", 251.46 , 297.56 , 533.45 , 119.38 , 741.26 ," 14,804.83 ",,
224 Otros pasivos," 35,163.03 "," 11,967.51 "," 9,194.57 "," 3,397.23 "," 2,220.75 "," 2,836.63 "," 4,449.77 "," 16,824.21 ", 356.37 , 575.81 , 553.87 , 909.36 ," 3,570.63 "," 92,019.73 ",,
2240 Provisiones," 35,163.03 "," 11,967.51 "," 9,194.57 "," 3,397.23 "," 2,220.75 "," 2,836.63 "," 4,449.77 "," 16,824.21 ", 356.37 , 575.81 , 553.87 , 909.36 ," 3,570.63 "," 92,019.73 ",,
2241 Pasivos asociados a activos, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
2242 Opciones de pago basadas en el valor de las acciones, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
225 Pasivos diferidos," 9,520.79 "," 29,112.08 "," 13,714.22 "," 1,405.10 ", 30.83 ," 5,418.48 "," 2,384.33 "," 11,371.72 ", 557.63 ," 1,017.83 "," 1,393.29 ", 217.54 , 28.46 ," 76,172.32 ",,
2250 Pasivos diferidos," 9,520.79 "," 29,112.08 "," 13,714.22 "," 1,405.10 ", 30.83 ," 5,418.48 "," 2,384.33 "," 11,371.72 ", 557.63 ," 1,017.83 "," 1,393.29 ", 217.54 , 28.46 ," 76,172.32 ",,
Total Pasivos," 5,416,982.74 "," 3,658,053.37 "," 2,890,044.06 "," 2,015,335.13 "," 184,378.20 "," 410,089.82 "," 1,296,829.19 "," 3,182,026.41 "," 158,734.97 "," 625,411.18 "," 800,703.76 "," 220,797.35 "," 1,153,477.53 "," 22,012,863.71 ",,
, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
Patrimonio, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
31 Patrimonio," 557,188.97 "," 395,516.95 "," 335,321.27 "," 164,070.21 "," 37,341.40 "," 54,788.96 "," 100,850.89 "," 326,552.25 "," 30,530.67 "," 96,237.69 "," 89,474.02 "," 34,515.04 "," 119,162.74 "," 2,341,551.07 ",,
311 Capital social," 297,500.00 "," 204,701.84 "," 150,000.00 "," 121,403.22 "," 22,000.00 "," 28,311.68 "," 70,788.87 "," 161,000.44 "," 23,643.70 "," 70,000.00 "," 80,000.00 "," 22,000.00 "," 113,703.50 "," 1,365,053.25 ",,
3110 Capital social suscrito," 297,500.00 "," 204,701.84 "," 150,000.00 "," 121,403.22 "," 22,000.00 "," 28,311.68 "," 70,788.87 "," 161,000.44 "," 23,643.70 "," 70,000.00 "," 80,000.00 "," 22,000.00 "," 113,703.50 "," 1,365,053.25 ",,
3111 Capital social variable, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
3120 Aportes de capital pendientes de formalizar, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
3130 Reservas de capital," 166,896.59 "," 90,187.82 "," 162,149.31 "," 28,159.39 "," 4,719.52 "," 5,084.29 "," 17,697.22 "," 40,250.11 "," 3,942.14 "," 3,414.23 "," 5,115.45 "," 3,750.00 "," 2,932.56 "," 534,298.63 ",,
3140 Resultados por aplicar," 92,792.38 "," 100,627.30 "," 23,171.97 "," 14,507.60 "," 10,621.87 "," 21,392.99 "," 12,364.80 "," 125,301.70 "," 2,944.83 "," 22,823.46 "," 4,358.57 "," 8,765.04 "," 2,526.68 "," 442,199.19 ",,
3150 Primas sobre acciones, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
32 Patrimonio restringido," 59,585.00 "," 56,923.26 "," 28,943.78 "," 40,039.93 "," 6,640.21 "," 14,107.65 "," 15,981.12 "," 28,378.42 "," 3,187.60 "," 4,149.25 "," 9,056.16 "," 3,876.08 "," 10,090.18 "," 280,958.64 ",,
3210 Utilidades no distribuibles," 58,321.80 "," 43,441.40 "," 24,823.37 "," 35,077.63 "," 6,574.22 "," 3,276.39 "," 16,762.29 "," 30,180.47 "," 3,187.60 "," 4,149.25 "," 9,056.16 "," 3,991.12 "," 10,057.48 "," 248,899.19 ",,
3220 Donaciones, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 32.70 , 32.70 ,,
323 Otro resultado integral," 1,263.19 "," 13,481.86 "," 4,120.41 "," 4,962.30 ", 65.99 ," 10,831.26 ",-781.17 ,"-1,802.05 ", -   , -   , -   ,-115.03 , -   ," 32,026.76 ",,
3230 Otro resultado integral de ejercicios anteriores," 1,263.19 "," 13,481.86 "," 4,120.41 "," 4,962.30 ", 65.99 ," 10,831.26 ",-781.17 ,"-2,151.89 ", -   , -   , -   ,-115.03 , -   ," 31,676.92 ",,
3231 Otro resultado integral del presente ejercicio, -   , -   , -   , -   , -   , -   , -   , 349.83 , -   , -   , -   , -   , -   , 349.83 ,,
, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
Total Patrimonio," 616,773.96 "," 452,440.22 "," 364,265.05 "," 204,110.14 "," 43,981.61 "," 68,896.61 "," 116,832.00 "," 354,930.67 "," 33,718.27 "," 100,386.94 "," 98,530.18 "," 38,391.13 "," 129,252.92 "," 2,622,509.71 ",,
, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
Total pasivo + total patrimonio," 6,033,756.70 "," 4,110,493.58 "," 3,254,309.12 "," 2,219,445.27 "," 228,359.81 "," 478,986.43 "," 1,413,661.19 "," 3,536,957.08 "," 192,453.24 "," 725,798.11 "," 899,233.95 "," 259,188.48 "," 1,282,730.45 "," 24,635,373.42 ",,
, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
5110 Obligaciones por cartas de crédito," 22,650.29 "," 8,015.30 "," 7,846.22 ", -   , -   , -   , 334.44 ," 52,937.33 ", -   ," 1,511.90 "," 6,578.85 ", -   , -   ," 99,874.32 ",,
