Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,
Datos al  28 de febrero de 2025,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Apoyo Integral, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,
,,,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,,,
2111 Depósitos pactados hasta un año plazo," 1,000,104.83 "," 1,035,629.40 "," 1,011,568.03 "," 649,609.81 ", -   ," 110,561.07 "," 440,810.87 "," 884,393.25 "," 97,821.35 "," 314,990.59 "," 355,879.95 "," 103,426.55 "," 354,404.85 "," 6,359,200.55 ",
2112 Depósitos pactados a más de un año plazo," 106,365.40 "," 35,191.43 "," 66,472.52 "," 199,658.40 ", -   , 33.10 ," 45,760.69 "," 102,789.82 "," 23,031.30 "," 7,663.45 "," 16,007.63 "," 3,575.57 "," 170,234.41 "," 776,783.72 ",
2113 Certificados de depósitos negociables, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 23,266.81 "," 23,266.81 ",
2114 Depósitos restringidos e inactivos," 80,897.93 "," 63,486.94 "," 55,814.05 "," 36,883.76 ", 478.00 ," 9,851.36 "," 28,631.33 "," 18,796.86 "," 2,724.06 "," 4,464.30 "," 8,792.48 "," 3,672.01 "," 19,743.46 "," 334,236.55 ",
2115 Operaciones con pacto de retrocompra, -   , -   ," 2,750.00 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 2,750.00 ",
2116 Préstamos pactados hasta un año plazo, -   ," 1,230.51 "," 24,134.82 "," 15,054.50 "," 15,001.82 ", 16.16 ," 21,456.85 "," 92,021.50 "," 3,926.24 "," 39,376.65 "," 11,192.43 "," 19,131.85 "," 21,363.90 "," 263,907.24 ",
2117 Préstamos pactados a más de un año plazo," 71,809.51 "," 68,052.59 "," 57,223.91 "," 56,661.73 ", -   ," 2,760.47 "," 53,679.98 "," 222,752.18 ", -   ," 49,839.30 "," 35,173.32 "," 30,880.31 "," 75,314.73 "," 724,148.01 ",
2118 Préstamos pactados a cinco o mas años plazo," 239,242.40 "," 149,571.81 "," 57,296.07 "," 2,809.64 "," 1,264.57 "," 20,133.83 "," 53,093.60 ", -   ," 3,524.90 ", -   ," 101,950.69 "," 12,134.79 "," 46,843.69 "," 687,865.99 ",
2119 Préstamos subordinados," 70,814.27 ", -   , -   , -   , -   , -   ," 45,799.17 ", -   , -   , -   , -   , -   , -   ," 116,613.44 ",
212 Títulos de emisión propia," 118,240.86 "," 143,387.91 "," 143,150.19 "," 397,650.66 ", -   , -   ," 42,220.40 "," 150,058.59 "," 7,604.92 "," 58,761.38 "," 16,032.14 "," 11,045.43 "," 164,512.39 "," 1,252,664.89 ",
2120 Títulos de emisión propia," 118,240.86 "," 143,387.91 "," 143,150.19 "," 397,650.66 ", -   , -   ," 42,220.40 "," 150,058.59 "," 7,604.92 "," 58,761.38 "," 16,032.14 "," 11,045.43 "," 164,512.39 "," 1,252,664.89 ",
213 Obligaciones a la vista," 21,055.26 "," 16,210.37 "," 10,323.70 "," 29,534.05 ", 844.89 , 63.86 ," 5,354.11 "," 22,186.87 ", 676.41 ," 5,161.42 "," 2,119.23 "," 2,060.16 ", 794.23 ," 116,384.56 ",
2130 Obligaciones a la vista," 21,055.26 "," 16,210.37 "," 10,323.70 "," 29,534.05 ", 844.89 , 63.86 ," 5,354.11 "," 22,186.87 ", 676.41 ," 5,161.42 "," 2,119.23 "," 2,060.16 ", 794.23 ," 116,384.56 ",
22 Otros pasivos," 247,276.86 "," 84,084.02 "," 50,359.79 "," 13,134.45 "," 6,217.08 "," 30,842.56 "," 21,471.80 "," 42,804.41 "," 2,570.17 "," 15,100.67 "," 5,603.97 "," 5,336.57 "," 11,116.24 "," 535,918.61 ",
221 Saldos entre compañias, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
2210 Saldos entre compañias, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
222 Cuentas por pagar," 191,862.19 "," 42,154.63 "," 20,327.98 "," 8,344.82 "," 3,858.01 "," 22,784.77 "," 12,399.45 "," 11,298.74 ", 927.97 ," 12,865.47 "," 3,241.19 "," 3,954.62 "," 7,280.03 "," 341,299.87 ",
2220 Cuentas por pagar," 161,842.28 "," 27,806.51 "," 18,160.10 "," 7,540.66 "," 1,377.26 "," 19,340.80 "," 8,600.01 "," 10,672.11 ", 854.68 ," 10,804.92 "," 2,434.26 "," 1,928.46 "," 6,888.88 "," 278,250.95 ",
2221 Impuestos," 30,019.90 "," 14,348.12 "," 2,167.88 ", 804.16 ," 2,480.75 "," 3,443.98 "," 3,799.45 ", 626.63 , 73.29 ," 2,060.54 ", 806.93 ," 2,026.16 ", 391.14 ," 63,048.92 ",
223 Retenciones y aportaciones patronales," 2,608.84 "," 5,969.68 "," 2,553.38 ", 517.93 , 194.37 , 199.45 ," 1,593.91 "," 1,920.21 ", 357.45 , 326.87 , 857.35 , 132.45 , 733.10 ," 17,965.00 ",
2230 Retenciones y aportaciones patronales," 2,608.84 "," 5,969.68 "," 2,553.38 ", 517.93 , 194.37 , 199.45 ," 1,593.91 "," 1,920.21 ", 357.45 , 326.87 , 857.35 , 132.45 , 733.10 ," 17,965.00 ",
224 Otros pasivos," 42,010.27 "," 11,212.85 "," 12,901.61 "," 3,102.01 "," 2,130.89 "," 2,927.47 "," 5,282.15 "," 16,332.31 ", 693.18 , 738.32 , 341.33 ," 1,037.68 "," 3,103.11 "," 101,813.18 ",
2240 Provisiones," 42,010.27 "," 11,212.85 "," 12,901.61 "," 3,102.01 "," 2,130.89 "," 2,927.47 "," 5,282.15 "," 16,332.31 ", 693.18 , 738.32 , 341.33 ," 1,037.68 "," 3,103.11 "," 101,813.18 ",
2241 Pasivos asociados a activos, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
2242 Opciones de pago basadas en el valor de las acciones, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
225 Pasivos diferidos," 10,795.57 "," 24,746.85 "," 14,576.82 "," 1,169.68 ", 33.82 ," 4,930.86 "," 2,196.28 "," 13,253.16 ", 591.57 ," 1,170.02 "," 1,164.09 ", 211.82 , -   ," 74,840.55 ",
2250 Pasivos diferidos," 10,795.57 "," 24,746.85 "," 14,576.82 "," 1,169.68 ", 33.82 ," 4,930.86 "," 2,196.28 "," 13,253.16 ", 591.57 ," 1,170.02 "," 1,164.09 ", 211.82 , -   ," 74,840.55 ",
Total Pasivos," 5,729,336.87 "," 3,830,202.38 "," 2,936,907.37 "," 2,067,430.14 "," 155,540.92 "," 426,544.78 "," 1,319,468.16 "," 3,429,403.77 "," 163,220.95 "," 727,897.78 "," 816,328.90 "," 237,921.71 "," 1,220,361.08 "," 23,060,564.81 ",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
31 Patrimonio," 489,400.61 "," 387,540.90 "," 330,868.25 "," 172,391.93 "," 40,739.93 "," 58,372.42 "," 98,147.87 "," 334,525.75 "," 32,914.96 "," 99,684.75 "," 88,442.02 "," 35,992.66 "," 117,676.06 "," 2,286,698.12 ",
311 Capital social," 297,500.00 "," 204,701.84 "," 150,000.00 "," 121,403.22 "," 22,000.00 "," 28,311.68 "," 75,788.87 "," 161,000.44 "," 23,643.70 "," 70,000.00 "," 80,000.00 "," 22,000.00 "," 113,703.50 "," 1,370,053.25 ",
3110 Capital social suscrito," 297,500.00 "," 204,701.84 "," 150,000.00 "," 121,403.22 "," 22,000.00 "," 28,311.68 "," 75,788.87 "," 161,000.44 "," 23,643.70 "," 70,000.00 "," 80,000.00 "," 22,000.00 "," 113,703.50 "," 1,370,053.25 ",
3111 Capital social variable, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
3120 Aportes de capital pendientes de formalizar, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
3130 Reservas de capital," 159,461.50 "," 90,187.82 "," 172,149.31 "," 30,351.51 "," 5,500.00 "," 6,145.76 "," 18,611.65 "," 40,250.11 "," 4,246.91 "," 4,326.83 "," 6,052.35 "," 4,300.12 "," 3,334.76 "," 544,918.62 ",
3140 Resultados por aplicar," 32,439.11 "," 92,651.25 "," 8,718.95 "," 20,637.20 "," 13,239.93 "," 23,914.97 "," 3,747.36 "," 133,275.20 "," 5,024.35 "," 25,357.92 "," 2,389.67 "," 9,692.54 ", 637.80 ," 371,726.25 ",
