Superintendencia del Sistema Financiero,,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,,
Datos al 30 de Junio de 2022,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,,
314002 Resultados del presente ejercicio,"61,358.30","28,641.22","21,482.88","9,503.35",467.51,"3,025.43",661.15,"3,428.20","21,254.31","1,350.76","2,674.72",853.80,"1,844.84","156,546.47"
32 Patrimonio restringido,"85,205.41","61,019.33","24,992.60","33,043.01","3,776.70","14,186.61","3,024.90","19,238.55","27,910.70","4,015.77","3,365.52","3,166.39","11,807.78","294,753.27"
3210 Utilidades no distribuibles,"31,450.40","43,853.63","13,081.14","17,924.99","3,462.75",0.00,"1,707.23","15,540.82","21,591.33","4,014.96","3,287.14","2,805.64","6,237.06","164,957.09"
3220 Revaluaciones,"9,004.51","13,997.27","4,370.95","4,962.30",0.00,"10,831.26",0.00,0.00,0.00,0.00,0.00,0.00,44.27,"43,210.57"
3230 Recuperaciones de activos castigados,0.00,394.70,790.38,"4,106.27",0.00,0.00,37.00,141.60,982.66,0.00,0.00,0.00,40.52,"6,493.14"
3240 Donaciones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.70,32.70
3250 Provisiones,"44,750.50","2,773.73","6,750.12","6,049.45",313.95,"3,355.35","1,280.67","3,556.12","5,336.71",0.81,78.38,360.75,"5,453.23","80,059.77"
3260 Por instrumentos financieros derivados,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Total patrimonio,"601,795.63","405,648.96","327,833.05","164,508.92","39,383.68","54,982.51","61,205.02","127,142.55","308,312.43","28,961.26","65,917.06","57,699.13","107,146.26","2,350,536.46"
 ,,,,,,,,,,,,,,
Total pasivo + patrimonio,"5,732,194.39","3,813,813.60","2,919,572.15","1,785,030.06","229,750.28","472,566.73","323,762.53","1,339,530.42","3,093,162.42","136,620.66","490,539.21","562,966.22","953,636.13","21,853,144.79"
 ,,,,,,,,,,,,,,
5110 Obligaciones por cartas de crédito,"27,744.19","15,971.77","17,650.33","3,587.63",0.00,0.00,"4,179.37",0.00,"28,426.46",0.00,"1,445.52",79.07,0.00,"99,084.34"
5120 Contingencias por avales y fianzas,"105,337.32","107,963.13","93,611.26","15,458.75","8,422.41","6,352.35","2,381.78","11,294.43","127,888.17",0.00,"20,451.23",0.00,"12,543.98","511,704.81"
5131 Compromisos por operaciones en moneda extranjera,"10,202.96",0.00,0.00,0.00,"2,404.13",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"12,607.09"
 ,,,,,,,,,,,,,,
Total compromisos futuros y contingencias,"143,284.48","123,934.90","111,261.59","19,046.37","10,826.54","6,352.35","6,561.15","11,294.43","156,314.63",0.00,"21,896.75",79.07,"12,543.98","623,396.24"
 ,,,,,,,,,,,,,,
Total pasivo + patrimonio + comp. futuros y contingencias,"5,875,478.87","3,937,748.50","3,030,833.74","1,804,076.43","240,576.82","478,919.08","330,323.69","1,350,824.85","3,249,477.05","136,620.66","512,435.95","563,045.29","966,180.11","22,476,541.03"
 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
