Superintendencia del Sistema Financiero,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,
Datos al 30 de Noviembre de 2023,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,
,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,
2240 Provisiones,"38,168.58","12,812.67","6,724.40","5,328.36","2,713.53","3,378.87","4,553.49","11,522.48","1,138.40",447.93,747.60,"2,750.54","90,286.87"
224003 Otras provisiones,"13,591.45",142.64,0.00,753.27,343.90,0.21,"1,963.15","4,453.22",249.98,52.94,0.00,956.19,"22,506.94"
2250 Créditos diferidos,"18,418.72","32,386.97","13,179.71",953.60,38.96,"5,951.19","2,741.96","9,458.60",476.10,884.24,"1,046.10",51.39,"85,587.54"
23 Obligaciones convertibles en acciones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2311 Préstamos convertibles en acciones pactados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2321 Bonos convertibles en acciones pactados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2322 Bonos convertibles en acciones pactados a mas de un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24 deuda subordinada,"71,575.57",0.00,0.00,0.00,0.00,0.00,"30,333.04",0.00,0.00,0.00,0.00,0.00,"101,908.61"
241 deuda subordinada a plazo fijo,"71,575.57",0.00,0.00,0.00,0.00,0.00,"30,333.04",0.00,0.00,0.00,0.00,0.00,"101,908.61"
2413 deuda subordinada a cinco o mas años,"71,575.57",0.00,0.00,0.00,0.00,0.00,"30,333.04",0.00,0.00,0.00,0.00,0.00,"101,908.61"
Total pasivos,"5,123,066.69","3,631,643.34","2,757,659.50","2,092,801.85","208,832.39","406,219.80","1,273,793.51","2,960,761.75","141,747.22","596,390.35","745,558.42","1,094,309.02","21,032,783.84"
 ,,,,,,,,,,,,,
Patrimonio ,,,,,,,,,,,,,
31 Patrimonio,"583,604.08","381,811.66","332,183.56","158,473.66","34,838.33","49,187.02","109,515.00","318,169.39","26,711.20","71,230.62","115,041.05","105,072.60","2,285,838.17"
3110 Capital social pagado,"297,500.00","204,701.84","150,000.00","121,403.22","22,000.00","28,311.68","70,788.87","161,000.44","20,643.67","50,000.00","102,270.00","90,000.00","1,318,619.72"
3130 Reservas de capital,"162,513.85","90,187.82","126,153.65","18,483.79","4,152.01","4,113.97","16,933.45","40,250.11","3,704.79","2,553.74","4,101.83","1,921.78","475,070.80"
3140 Resultados por aplicar,"123,590.22","86,922.00","56,029.91","18,586.64","8,686.32","16,761.37","21,792.68","116,918.84","2,362.73","18,676.88","8,669.22","13,150.82","492,147.65"
314001 Resultados de ejercicios anteriores,"11,863.46","39,508.91","24,444.62",9.58,"4,480.09","10,494.53","14,730.10","79,436.26",0.47,"12,763.73",0.00,"3,879.34","201,611.08"
314002 Resultados del presente ejercicio,"111,726.77","47,413.10","31,585.29","18,577.07","4,206.23","6,266.84","7,062.58","37,482.58","2,362.26","5,913.15","8,669.22","9,271.48","290,536.56"
32 Patrimonio restringido,"59,430.48","61,168.95","26,261.41","31,407.22","1,358.42","14,828.32","16,195.70","24,665.64","6,723.50","3,665.27","8,385.55","11,641.33","265,731.80"
3210 Utilidades no distribuibles,"28,615.18","42,617.71","15,081.50","16,944.85","1,358.42",0.00,"13,678.78","21,919.52","6,722.93","3,572.00","6,002.95","6,093.17","162,607.03"
3220 Revaluaciones,"8,478.10","13,997.27","4,375.91","4,962.30",0.00,"10,831.26",0.00,0.00,0.00,0.00,0.00,44.27,"42,689.12"
3230 Recuperaciones de activos castigados,0.00,151.87,708.09,"4,652.99",0.00,0.00,258.43,525.86,0.00,0.00,37.00,57.06,"6,391.29"
3240 Donaciones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.70,32.70
3250 Provisiones,"22,337.20","4,402.10","6,095.91","4,847.08",0.00,"3,997.06","2,258.48","2,220.26",0.57,93.27,"2,345.61","5,414.13","54,011.67"
