Superintendencia del Sistema Financiero,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,
Datos al 30 de abril de 2024,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,
,,,,,,,,,,,,,
Concepto,"Banco Agricola, S.A.","Banco Cuscatlan de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones
,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,
2220 Cuentas por pagar,"123,858.1","25,356.8","20,542.4","2,942.9","1,752.7","19,535.6","7,058.3","33,138.4",724.0,"24,424.3","6,008.7","11,402.6","276,744.7"
2221 Impuestos,"14,667.9","6,480.2","2,208.9",0.0,"2,040.7","1,154.5","2,112.1",339.7,85.6,746.5,"2,339.6",259.4,"32,435.0"
223 Retenciones y aportaciones patronales,"2,381.2","3,951.7","1,840.2",547.3,226.9,295.6,"1,584.3","2,328.2",295.9,323.2,646.1,574.3,"14,994.9"
2230 Retenciones y aportaciones patronales,"2,381.2","3,951.7","1,840.2",547.3,226.9,295.6,"1,584.3","2,328.2",295.9,323.2,646.1,574.3,"14,994.9"
224 Otros pasivos,"32,851.6","12,339.4","9,393.3","4,052.5","2,192.6","3,172.3","4,445.7","13,756.7",764.3,600.1,341.7,"3,153.0","87,063.0"
2240 Provisiones,"32,851.6","12,339.4","9,393.3","4,052.5","2,192.6","3,172.3","4,445.7","13,756.7",764.3,600.1,341.7,"3,153.0","87,063.0"
2241 Pasivos asociados a activos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2242 Opciones de pago basadas en el valor de las acciones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225 Pasivos diferidos,"9,134.8","30,128.3","15,294.3",869.3,49.4,"4,926.1","2,586.8","10,390.6",537.4,"1,022.3","1,509.7",30.4,"76,479.4"
2250 Pasivos diferidos,"9,134.8","30,128.3","15,294.3",869.3,49.4,"4,926.1","2,586.8","10,390.6",537.4,"1,022.3","1,509.7",30.4,"76,479.4"
Total Pasivos,"5,460,909.2","3,646,532.7","2,821,213.6","2,092,799.5","197,281.9","405,183.8","1,307,832.4","3,110,036.2","156,396.1","612,184.9","807,887.6","1,137,615.2","21,755,873.0"
,,,,,,,,,,,,,
Patrimonio,,,,,,,,,,,,,
31 Patrimonio,"513,846.8","378,234.3","324,958.3","156,239.5","34,289.5","52,656.1","98,694.3","307,148.2","30,097.3","73,804.2","87,558.6","108,871.9","2,166,398.8"
311 Capital social,"297,500.0","204,701.8","150,000.0","121,403.2","22,000.0","28,311.7","70,788.9","161,000.4","20,643.7","50,000.0","80,000.0","90,000.0","1,296,349.7"
3110 Capital social suscrito,"297,500.0","204,701.8","150,000.0","121,403.2","22,000.0","28,311.7","70,788.9","161,000.4","20,643.7","50,000.0","80,000.0","90,000.0","1,296,349.7"
3111 Capital social variable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3120 Aportes de capital pendientes de formalizar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3130 Reservas de capital,"166,896.6","90,187.8","162,149.3","28,159.4","4,719.5","5,084.3","17,697.2","40,250.1","3,942.1","3,414.2","5,115.5","2,932.6","530,548.6"
3140 Resultados por aplicar,"49,450.2","83,344.7","12,809.0","6,676.9","7,570.0","19,260.1","10,208.2","105,897.6","5,511.5","20,389.9","2,443.1","15,939.3","339,500.5"
3150 Primas sobre acciones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32 Patrimonio restringido,"59,497.9","56,943.6","31,243.3","39,263.1","6,640.2","14,833.5","15,975.5","30,815.6","3,187.6","4,181.6","8,932.5","10,339.5","281,853.8"
3210 Utilidades no distribuibles,"58,234.7","43,473.1","27,124.1","34,300.8","6,574.2","4,002.3","16,756.7","31,252.6","3,187.6","4,181.6","8,932.5","10,306.8","248,326.8"
3220 Donaciones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.7,32.7
323 Otro resultado integral,"1,263.2","13,470.5","4,119.2","4,962.3",66.0,"10,831.3",-781.2,-437.1,0.0,0.0,0.0,0.0,"33,494.3"
3230 Otro resultado integral de ejercicios anteriores,"1,263.2","13,470.5","4,119.2","4,962.3",66.0,"10,831.3",-781.2,-437.1,0.0,0.0,0.0,0.0,"33,494.3"
3231 Otro resultado integral del presente ejercicio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,
Total Patrimonio,"573,344.7","435,177.9","356,201.6","195,502.5","40,929.7","67,489.6","114,669.8","337,963.7","33,284.9","77,985.8","96,491.0","119,211.3","2,448,252.6"
,,,,,,,,,,,,,
Total pasivo + total patrimonio,"6,034,253.9","4,081,710.7","3,177,415.2","2,288,302.0","238,211.6","472,673.3","1,422,502.2","3,448,000.0","189,681.0","690,170.6","904,378.6","1,256,826.5","24,204,125.6"
,,,,,,,,,,,,,
5110 Obligaciones por cartas de crédito,"25,723.5","8,705.6","8,416.7",87.4,0.0,0.0,60.0,"61,317.8",0.0,"1,249.5","5,090.5",0.0,"110,651.1"
5120 Contingencias por avales y fianzas,"82,117.4","64,770.1","126,741.9","18,544.5","4,872.6","5,732.4","6,534.1","66,044.4",0.0,"21,017.5","1,646.4","6,236.9","404,258.2"
5130 Operaciones con instrumentos financieros derivados,"8,798.9",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"8,798.9"
5140 Procesos judiciales abiertos contra la entidad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5180 Otras,0.0,0.0,0.0,0.0,531.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531.2
,,,,,,,,,,,,,
Total de compromisos y contingencias,"116,639.8","73,475.8","135,158.6","18,631.9","5,403.8","5,732.4","6,594.2","127,362.2",0.0,"22,267.0","6,736.9","6,236.9","524,239.4"
,,,,,,,,,,,,,
Total pasivo + patrimonio + compromisos futuros y contingencias,"6,150,893.7","4,155,186.4","3,312,573.8","2,306,933.9","243,615.4","478,405.7","1,429,096.3","3,575,362.2","189,681.0","712,437.6","911,115.5","1,263,063.4","24,728,365.0"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
